config,phase,round,training_set_size,verified_samples_added,training_time_seconds,validation_time_seconds,actual_stopped_epoch,best_epoch,mAP50,mAP50_95,precision,recall,f1_score,knife_mAP50,pistol_mAP50,knife_precision,pistol_precision,knife_recall,pistol_recall,knife_f1,pistol_f1
yolo12n_pretrained,round,1,709,0,277.63,12.49,10,,0.6598,0.4008,0.7019,0.573,0.6309,0.603,0.7166,0.6331,0.7707,0.5327,0.6133,0.5786,0.683
yolo12n_pretrained,round,2,2522,1813,652.67,13.0,10,,0.8136,0.5471,0.8331,0.728,0.777,0.8144,0.8127,0.8411,0.8251,0.7173,0.7387,0.7743,0.7795
yolo12n_pretrained,round,3,3009,487,765.42,11.1,10,,0.8516,0.5919,0.8577,0.7588,0.8052,0.8739,0.8293,0.8597,0.8557,0.7921,0.7255,0.8245,0.7853
yolo12n_pretrained,round,4,3148,139,794.24,10.14,10,,0.8801,0.6126,0.8928,0.789,0.8377,0.9179,0.8423,0.903,0.8827,0.8263,0.7518,0.8629,0.812
yolo12n_pretrained,round,5,3234,86,782.9,10.45,10,,0.905,0.6517,0.903,0.8227,0.861,0.9524,0.8577,0.9349,0.871,0.8731,0.7723,0.903,0.8187
yolo12n_pretrained,final_test,,,,3272.86,5.47,,,0.8905,0.6219,0.8545,0.8164,0.835,0.9372,0.8437,0.8801,0.8288,0.8785,0.7542,0.8793,0.7898
yolo12n_pretrained_100ep,round,1,709,0,3189.32,9.04,100,,0.8035,0.5173,0.8472,0.7219,0.7795,0.8163,0.7906,0.8642,0.8301,0.7196,0.7241,0.7853,0.7735
yolo12n_pretrained_100ep,round,2,2902,2193,2798.41,8.61,38,,0.8566,0.5901,0.8681,0.7638,0.8126,0.8806,0.8325,0.8734,0.8629,0.7874,0.7401,0.8282,0.7968
yolo12n_pretrained_100ep,round,3,3134,232,6348.48,9.94,82,,0.9023,0.6596,0.9233,0.8169,0.8668,0.9326,0.8721,0.9334,0.9131,0.8512,0.7825,0.8904,0.8428
yolo12n_pretrained_100ep,round,4,3242,108,1793.86,9.94,23,,0.8835,0.6289,0.908,0.7926,0.8464,0.9138,0.8532,0.8952,0.9208,0.8384,0.7467,0.8659,0.8247
yolo12n_pretrained_100ep,round,5,3280,38,3357.95,12.81,43,,0.8945,0.6488,0.925,0.8055,0.8611,0.9373,0.8518,0.9415,0.9085,0.8575,0.7535,0.8975,0.8237
