epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02379,1.93335,2.21095,1.84533,0.85679,0.77729,0.84826,0.54208,1.22291,0.95637,1.55611,3e-05,3e-05,0.09703
2,16.1535,1.91967,2.30624,1.91835,0.55466,0.25612,0.21105,0.09365,2.05093,4.98797,2.58676,6.748e-05,6.748e-05,0.0930675
3,24.1213,1.83602,2.2375,1.71017,0.26404,0.16523,0.10523,0.03269,2.36207,6.55233,2.9684,0.00010208,0.00010208,0.0891021
4,32.1488,1.54745,1.89452,1.59335,0.47979,0.22902,0.12547,0.04319,2.10468,6.21958,2.51989,0.0001338,0.0001338,0.0851338
5,40.3428,1.53538,1.98191,1.59985,0.48665,0.24342,0.16791,0.06067,2.03246,5.41413,2.37529,0.00016264,0.00016264,0.0811626
6,48.4542,1.55273,1.88131,1.71184,0.51726,0.27298,0.2343,0.08563,1.93771,4.5563,2.22051,0.0001886,0.0001886,0.0771886
7,56.7706,1.78691,1.88701,1.71522,0.54733,0.28817,0.28486,0.10285,1.95245,4.10776,2.19039,0.00021168,0.00021168,0.0732117
8,65.2173,1.35059,1.60916,1.52665,0.50693,0.27775,0.28586,0.10757,2.04757,3.59769,2.24682,0.00023188,0.00023188,0.0692319
9,73.6172,1.46793,1.83416,1.5677,0.47198,0.29487,0.30253,0.11289,2.0618,3.07196,2.26067,0.0002492,0.0002492,0.0652492
10,82.7951,1.42511,1.66191,1.49312,0.45585,0.31829,0.31279,0.11624,2.02238,2.66113,2.25723,0.00026364,0.00026364,0.0612636
11,91.6228,1.50978,1.68676,1.55229,0.45174,0.34817,0.34232,0.12985,1.95256,2.42197,2.20431,0.0002752,0.0002752,0.0572752
12,100.052,1.3309,1.62526,1.41844,0.39552,0.38769,0.34382,0.13285,1.89422,2.2906,2.17863,0.00028388,0.00028388,0.0532839
13,108.514,1.30643,1.31193,1.41758,0.42456,0.41839,0.36789,0.15334,1.84395,2.14849,2.15828,0.00028968,0.00028968,0.0492897
14,117.03,1.3735,1.37852,1.41609,0.48521,0.42602,0.40526,0.17811,1.80959,2.03721,2.14288,0.0002926,0.0002926,0.0452926
15,125.52,1.27164,1.35661,1.42744,0.57675,0.48852,0.49804,0.23714,1.71496,1.79932,2.07286,0.00029264,0.00029264,0.0412926
16,158.232,1.13994,1.24261,1.32654,0.63254,0.52265,0.54465,0.26682,1.67932,1.69625,2.04161,0.0002898,0.0002898,0.0372898
17,166.125,1.12745,1.03174,1.31118,0.64269,0.56309,0.58361,0.2875,1.65046,1.63509,2.01024,0.00028408,0.00028408,0.0332841
18,174.002,1.16987,1.06645,1.309,0.72651,0.56231,0.62413,0.31536,1.60806,1.5398,1.98718,0.00027548,0.00027548,0.0292755
19,182.069,1.07729,0.95465,1.30716,0.73482,0.56805,0.6359,0.32688,1.58871,1.50708,1.97478,0.000264,0.000264,0.025264
20,190.185,1.00116,0.92492,1.27198,0.73977,0.57038,0.64529,0.33716,1.57475,1.48261,1.96733,0.00024964,0.00024964,0.0212496
21,198.381,1.04001,0.93423,1.21835,0.72628,0.58848,0.64941,0.34696,1.54844,1.46219,1.94206,0.0002324,0.0002324,0.0172324
22,206.685,1.0088,0.93141,1.24009,0.72039,0.59704,0.65184,0.34992,1.5472,1.44976,1.93864,0.00021228,0.00021228,0.0132123
23,214.897,0.93103,0.82578,1.2203,0.72539,0.59693,0.6564,0.34998,1.54688,1.44229,1.93415,0.00018928,0.00018928,0.00918928
24,223.337,0.90697,0.79571,1.16458,0.71605,0.61494,0.66055,0.34978,1.55368,1.43441,1.94052,0.0001634,0.0001634,0.0051634
25,231.728,0.93516,0.89299,1.23195,0.73008,0.60856,0.66078,0.34717,1.56883,1.42786,1.95439,0.00013464,0.00013464,0.00113464
