epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.317,1.37444,2.15173,1.65299,0.48258,0.45815,0.44539,0.235,1.6674,2.07139,2.00908,0.000331832,0.000331832,0.0671486
2,260.844,1.3413,1.82146,1.64598,0.42279,0.36761,0.36791,0.20187,1.74301,2.27896,2.19676,0.000663968,0.000663968,0.0341475
3,378.264,1.3468,1.73431,1.65071,0.57389,0.42452,0.47299,0.26618,1.64202,2.46712,2.02087,0.000994904,0.000994904,0.00114505
4,493.405,1.33153,1.70387,1.6398,0.67389,0.44884,0.52805,0.30574,1.57621,1.97868,2.03042,0.0009946,0.0009946,0.0009946
5,609.879,1.30561,1.63186,1.61,0.48179,0.45099,0.45157,0.26575,1.71963,2.42528,2.2405,0.0009928,0.0009928,0.0009928
6,724.257,1.26005,1.57622,1.58391,0.65715,0.46211,0.54346,0.29641,1.66867,1.91375,2.13024,0.000991,0.000991,0.000991
7,840.758,1.24314,1.52542,1.56831,0.63059,0.55802,0.62929,0.38687,1.42465,1.56709,1.83483,0.0009892,0.0009892,0.0009892
8,949.948,1.20904,1.46221,1.54209,0.74433,0.51452,0.63249,0.40083,1.37298,1.49523,1.74443,0.0009874,0.0009874,0.0009874
9,1057.66,1.18212,1.40948,1.51293,0.74543,0.57235,0.67821,0.4055,1.3834,1.50484,1.78828,0.0009856,0.0009856,0.0009856
10,1173.43,1.17451,1.38729,1.50724,0.75937,0.59143,0.70666,0.44657,1.33571,1.32812,1.69559,0.0009838,0.0009838,0.0009838
11,1293.04,1.14789,1.32283,1.48812,0.80211,0.56438,0.70221,0.43912,1.37576,1.34802,1.70496,0.000982,0.000982,0.000982
12,1407.75,1.14598,1.32294,1.48247,0.7981,0.65276,0.76374,0.4705,1.33848,1.20518,1.71222,0.0009802,0.0009802,0.0009802
13,1520.06,1.12519,1.28172,1.46019,0.76058,0.66477,0.74676,0.46816,1.27988,1.21776,1.64478,0.0009784,0.0009784,0.0009784
14,1631.57,1.1148,1.26234,1.45945,0.7506,0.64832,0.74091,0.47074,1.30516,1.23827,1.63927,0.0009766,0.0009766,0.0009766
15,1747.54,1.09043,1.24125,1.44597,0.82451,0.66297,0.78139,0.50546,1.24988,1.14224,1.58921,0.0009748,0.0009748,0.0009748
16,1858.18,1.09286,1.21151,1.43575,0.82838,0.66812,0.78894,0.52166,1.21156,1.0933,1.58831,0.000973,0.000973,0.000973
17,1967.01,1.0954,1.20276,1.43775,0.75942,0.62418,0.72041,0.45168,1.2872,1.21432,1.63029,0.0009712,0.0009712,0.0009712
18,2077.61,1.0829,1.18972,1.42637,0.83843,0.69879,0.80051,0.5192,1.24382,1.0737,1.61312,0.0009694,0.0009694,0.0009694
19,2189.88,1.08107,1.17107,1.42688,0.79445,0.67279,0.77489,0.5087,1.22008,1.12968,1.60212,0.0009676,0.0009676,0.0009676
20,2302.06,1.07374,1.15904,1.42104,0.81103,0.70453,0.80153,0.52686,1.22279,1.07697,1.59014,0.0009658,0.0009658,0.0009658
21,2407.74,1.06442,1.15336,1.41141,0.81468,0.70426,0.80455,0.53121,1.20837,1.07491,1.53703,0.000964,0.000964,0.000964
22,2510.59,1.0707,1.13722,1.40025,0.81133,0.73252,0.82814,0.54118,1.1952,0.9983,1.5513,0.0009622,0.0009622,0.0009622
23,2613.51,1.06767,1.11234,1.4051,0.84197,0.73945,0.8341,0.55296,1.16935,1.02688,1.53356,0.0009604,0.0009604,0.0009604
24,2707.09,1.04989,1.07284,1.38472,0.8155,0.74037,0.81344,0.52675,1.24219,1.01341,1.60741,0.0009586,0.0009586,0.0009586
25,2789.3,1.03196,1.08318,1.3753,0.84461,0.75837,0.84369,0.55857,1.15357,0.94891,1.52262,0.0009568,0.0009568,0.0009568
26,2872.21,1.03289,1.06597,1.37188,0.83472,0.74605,0.83925,0.56024,1.16178,0.98528,1.5268,0.000955,0.000955,0.000955
27,2955.71,1.03179,1.07086,1.37784,0.83151,0.75369,0.84005,0.55227,1.18669,0.98885,1.5202,0.0009532,0.0009532,0.0009532
28,3040.1,1.05168,1.05457,1.38931,0.8714,0.7546,0.8541,0.56893,1.15154,0.95048,1.53193,0.0009514,0.0009514,0.0009514
29,3123.84,1.01341,1.01926,1.37095,0.86306,0.76786,0.8562,0.57832,1.1202,0.91683,1.47008,0.0009496,0.0009496,0.0009496
30,3207.22,1.02658,1.06442,1.37257,0.79198,0.7772,0.81728,0.55608,1.12626,0.94571,1.46959,0.0009478,0.0009478,0.0009478
31,3291.38,1.02934,1.04853,1.36977,0.85476,0.75363,0.85191,0.57449,1.14499,0.94017,1.51073,0.000946,0.000946,0.000946
32,3375.24,1.01549,1.01909,1.36163,0.86191,0.77097,0.85868,0.5652,1.17597,0.91363,1.49501,0.0009442,0.0009442,0.0009442
33,3458.45,1.00987,1.01403,1.35842,0.8615,0.74376,0.85094,0.56996,1.13118,0.92965,1.48978,0.0009424,0.0009424,0.0009424
34,3541.89,0.99334,0.99993,1.34571,0.87393,0.78976,0.87459,0.59616,1.1187,0.8585,1.47103,0.0009406,0.0009406,0.0009406
35,3627.73,0.98051,0.99002,1.32945,0.89072,0.74084,0.86595,0.58414,1.15039,0.88692,1.49569,0.0009388,0.0009388,0.0009388
36,3710.53,1.00511,0.98129,1.34797,0.88047,0.77386,0.87287,0.59984,1.09868,0.85394,1.45873,0.000937,0.000937,0.000937
37,3793.42,0.99186,0.9607,1.34091,0.89186,0.79753,0.89318,0.59848,1.12434,0.83744,1.47864,0.0009352,0.0009352,0.0009352
38,3876.59,0.99363,0.96256,1.34956,0.85039,0.76585,0.85841,0.59878,1.0952,0.90143,1.46681,0.0009334,0.0009334,0.0009334
39,3960.68,0.98258,0.9739,1.33663,0.87992,0.78801,0.88126,0.59638,1.11981,0.87614,1.4742,0.0009316,0.0009316,0.0009316
40,4044.4,0.9749,0.95126,1.32896,0.87675,0.79716,0.88377,0.60358,1.10256,0.84055,1.45396,0.0009298,0.0009298,0.0009298
41,4127.62,0.97408,0.93759,1.33594,0.86932,0.78804,0.87643,0.59801,1.10859,0.84909,1.46065,0.000928,0.000928,0.000928
42,4211.83,0.97607,0.93071,1.32289,0.87153,0.80384,0.88532,0.60812,1.09918,0.80571,1.4414,0.0009262,0.0009262,0.0009262
43,4295.23,0.9591,0.91763,1.31588,0.85011,0.81393,0.87724,0.59793,1.10398,0.83786,1.43929,0.0009244,0.0009244,0.0009244
44,4378.55,0.95102,0.89008,1.31294,0.8762,0.79618,0.88077,0.60482,1.12574,0.82151,1.4644,0.0009226,0.0009226,0.0009226
45,4463.75,0.9627,0.89515,1.3098,0.88306,0.7989,0.88173,0.6181,1.07607,0.80602,1.42543,0.0009208,0.0009208,0.0009208
46,4547.44,0.96135,0.93781,1.31722,0.88252,0.76158,0.86084,0.58457,1.11808,0.85579,1.46436,0.000919,0.000919,0.000919
47,4630.51,0.96396,0.91177,1.31819,0.87767,0.78523,0.88516,0.60965,1.08945,0.81274,1.42825,0.0009172,0.0009172,0.0009172
48,4713.83,0.96368,0.91344,1.31056,0.87081,0.80793,0.89772,0.62238,1.05564,0.7731,1.40593,0.0009154,0.0009154,0.0009154
49,4796.59,0.9533,0.89276,1.30812,0.87454,0.82625,0.90126,0.62346,1.05957,0.76944,1.40716,0.0009136,0.0009136,0.0009136
50,4879.82,0.96257,0.89528,1.31528,0.89444,0.78292,0.89439,0.62725,1.07283,0.79578,1.42303,0.0009118,0.0009118,0.0009118
51,4963.27,0.94368,0.87597,1.30784,0.87345,0.81769,0.89048,0.61318,1.08158,0.79133,1.42155,0.00091,0.00091,0.00091
52,5046.29,0.96097,0.90729,1.31249,0.87337,0.81609,0.88501,0.61099,1.08761,0.77187,1.42637,0.0009082,0.0009082,0.0009082
53,5129.23,0.95037,0.8744,1.30257,0.88665,0.80888,0.9011,0.62493,1.07798,0.77722,1.41759,0.0009064,0.0009064,0.0009064
54,5212.6,0.94436,0.85259,1.29124,0.88211,0.81881,0.89501,0.62143,1.07766,0.78045,1.40499,0.0009046,0.0009046,0.0009046
