epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6564,0.98043,0.86985,1.26986,0.83047,0.70555,0.77539,0.51026,1.23116,1.0715,1.46242,0.000331658,0.000331658,0.0671658
2,50.8205,0.94189,0.80523,1.24198,0.87809,0.74575,0.82863,0.572,1.12114,0.91732,1.3561,0.000659007,0.000659007,0.0341598
3,70.2445,0.9665,0.83189,1.25148,0.88061,0.74036,0.83997,0.57231,1.14084,0.91044,1.36779,0.000980355,0.000980355,0.00114786
4,89.4591,0.97818,0.84223,1.25907,0.82199,0.71961,0.80743,0.54387,1.16825,1.0075,1.42115,0.000973,0.000973,0.000973
5,108.821,0.97119,0.84276,1.26268,0.86343,0.75814,0.84989,0.58988,1.10989,0.89871,1.34045,0.000964,0.000964,0.000964
6,127.752,0.94894,0.83506,1.25184,0.9009,0.7429,0.85715,0.57935,1.13099,0.8738,1.35792,0.000955,0.000955,0.000955
7,147.204,0.94166,0.81449,1.24058,0.86332,0.73348,0.82404,0.5689,1.12688,0.9389,1.36186,0.000946,0.000946,0.000946
8,166.306,0.94818,0.81203,1.23841,0.87782,0.76895,0.85726,0.5939,1.12254,0.83039,1.35272,0.000937,0.000937,0.000937
9,186.405,0.93737,0.77966,1.22858,0.85878,0.78185,0.8583,0.58629,1.12462,0.86706,1.34325,0.000928,0.000928,0.000928
10,206.499,0.94457,0.79127,1.2236,0.85672,0.78021,0.84554,0.58565,1.15119,0.87151,1.39245,0.000919,0.000919,0.000919
11,225.647,0.9294,0.77677,1.22877,0.86222,0.81203,0.87996,0.60794,1.08897,0.79998,1.32155,0.00091,0.00091,0.00091
12,247.164,0.93669,0.76254,1.22193,0.89764,0.77774,0.87127,0.61586,1.06189,0.79539,1.29674,0.000901,0.000901,0.000901
13,266.552,0.92917,0.74424,1.22407,0.87293,0.79255,0.87064,0.60019,1.13896,0.83208,1.34752,0.000892,0.000892,0.000892
14,286.406,0.93063,0.76017,1.22587,0.87916,0.79626,0.88307,0.61702,1.0798,0.79879,1.29819,0.000883,0.000883,0.000883
15,305.408,0.91851,0.74994,1.21314,0.88127,0.78748,0.87033,0.60329,1.1016,0.8146,1.32534,0.000874,0.000874,0.000874
16,325.434,0.90372,0.7372,1.20429,0.87931,0.78361,0.87483,0.61044,1.10452,0.79138,1.33605,0.000865,0.000865,0.000865
17,345.277,0.89714,0.7291,1.20167,0.84701,0.74061,0.82425,0.56434,1.13515,0.94914,1.35223,0.000856,0.000856,0.000856
18,364.549,0.90242,0.71904,1.19528,0.89295,0.80458,0.88812,0.63018,1.05421,0.75988,1.28837,0.000847,0.000847,0.000847
19,385.171,0.89016,0.7216,1.19415,0.90547,0.79035,0.88155,0.61138,1.10228,0.7551,1.33844,0.000838,0.000838,0.000838
20,404.236,0.89281,0.72089,1.19515,0.87486,0.808,0.87888,0.60916,1.07336,0.76152,1.30384,0.000829,0.000829,0.000829
21,424.177,0.87766,0.70899,1.19087,0.91652,0.77402,0.8781,0.61221,1.09277,0.78412,1.31753,0.00082,0.00082,0.00082
22,443.158,0.87712,0.69463,1.18666,0.90074,0.79635,0.87258,0.61278,1.09551,0.78864,1.32451,0.000811,0.000811,0.000811
23,463.113,0.87537,0.68381,1.18036,0.90984,0.80269,0.89006,0.62331,1.08147,0.73253,1.31471,0.000802,0.000802,0.000802
24,482.352,0.86111,0.67967,1.16822,0.90016,0.81997,0.89126,0.61841,1.08959,0.74733,1.30125,0.000793,0.000793,0.000793
25,503.231,0.88569,0.68986,1.19009,0.91661,0.80143,0.88988,0.61699,1.07081,0.74879,1.31328,0.000784,0.000784,0.000784
26,522.195,0.86308,0.66983,1.17721,0.91324,0.79601,0.88193,0.62432,1.05752,0.77103,1.28805,0.000775,0.000775,0.000775
27,541.732,0.86401,0.66363,1.17078,0.90022,0.82884,0.89718,0.63582,1.06272,0.70049,1.29667,0.000766,0.000766,0.000766
28,560.722,0.84962,0.66302,1.16621,0.90673,0.80339,0.88856,0.63362,1.05105,0.71132,1.2832,0.000757,0.000757,0.000757
29,580.242,0.85058,0.65461,1.16365,0.92271,0.81375,0.89995,0.64029,1.05182,0.70249,1.28633,0.000748,0.000748,0.000748
30,599.431,0.84984,0.64881,1.16589,0.87299,0.83101,0.89232,0.628,1.06534,0.70769,1.31011,0.000739,0.000739,0.000739
31,619.19,0.84244,0.63175,1.14811,0.90044,0.82546,0.89798,0.64483,1.03892,0.69407,1.28288,0.00073,0.00073,0.00073
32,638.752,0.82628,0.63078,1.14978,0.92175,0.82477,0.90188,0.64421,1.02087,0.68714,1.26937,0.000721,0.000721,0.000721
33,657.728,0.83572,0.62393,1.15222,0.92679,0.78907,0.8872,0.63423,1.03383,0.70573,1.27666,0.000712,0.000712,0.000712
34,678.389,0.81797,0.61229,1.14684,0.92353,0.81536,0.89741,0.63024,1.06171,0.7115,1.29676,0.000703,0.000703,0.000703
35,698.081,0.82169,0.62076,1.14403,0.92708,0.80686,0.89353,0.63569,1.04792,0.70043,1.28225,0.000694,0.000694,0.000694
36,717.356,0.83679,0.62433,1.14857,0.93295,0.80909,0.90081,0.64333,1.04256,0.67382,1.29205,0.000685,0.000685,0.000685
