epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.62,1.36929,1.97657,1.57705,0.55925,0.43833,0.47754,0.23876,1.63492,2.03965,1.8569,0.000331832,0.000331832,0.0671486
2,83.273,1.36125,1.6359,1.58641,0.62437,0.52539,0.57306,0.32643,1.44485,2.25796,1.71361,0.000663968,0.000663968,0.0341475
3,109.065,1.32702,1.58686,1.57287,0.60936,0.49984,0.56009,0.32156,1.48307,1.87604,1.72676,0.000994904,0.000994904,0.00114505
4,134.584,1.32903,1.58796,1.56978,0.64091,0.5113,0.57642,0.3422,1.50046,1.73557,1.85437,0.0009946,0.0009946,0.0009946
5,160.021,1.27426,1.49111,1.5202,0.65186,0.53177,0.61976,0.38016,1.37951,1.49023,1.63837,0.0009928,0.0009928,0.0009928
6,185.476,1.26174,1.44647,1.51591,0.73651,0.61668,0.71034,0.43083,1.3575,1.33887,1.65167,0.000991,0.000991,0.000991
7,210.8,1.22511,1.35934,1.49038,0.70805,0.6042,0.69685,0.44665,1.29472,1.36641,1.59203,0.0009892,0.0009892,0.0009892
8,236.297,1.18994,1.29931,1.45249,0.78537,0.68882,0.77039,0.48776,1.25771,1.19492,1.52975,0.0009874,0.0009874,0.0009874
9,262.153,1.17784,1.28272,1.44785,0.74114,0.69245,0.76061,0.49171,1.22274,1.17385,1.49669,0.0009856,0.0009856,0.0009856
10,287.8,1.15529,1.21935,1.41641,0.77949,0.66269,0.76024,0.48204,1.28467,1.19709,1.52869,0.0009838,0.0009838,0.0009838
11,313.082,1.15583,1.21042,1.42548,0.84329,0.66224,0.7908,0.51063,1.20251,1.11602,1.46416,0.000982,0.000982,0.000982
12,338.657,1.12976,1.17296,1.39971,0.84075,0.6908,0.81444,0.53901,1.19458,1.05463,1.48814,0.0009802,0.0009802,0.0009802
13,364.187,1.12313,1.15303,1.3941,0.83966,0.71421,0.81136,0.52727,1.22203,1.04151,1.46927,0.0009784,0.0009784,0.0009784
14,389.809,1.10324,1.1376,1.3871,0.8338,0.72653,0.82443,0.5332,1.19815,1.05991,1.47629,0.0009766,0.0009766,0.0009766
15,415.288,1.08946,1.08941,1.36505,0.81269,0.74945,0.82627,0.55599,1.15567,0.99398,1.42236,0.0009748,0.0009748,0.0009748
16,440.765,1.09064,1.07553,1.35931,0.86777,0.71283,0.84107,0.56547,1.14435,0.97611,1.4138,0.000973,0.000973,0.000973
17,466.332,1.07687,1.06097,1.35355,0.79788,0.77327,0.84033,0.55107,1.16044,0.94997,1.41529,0.0009712,0.0009712,0.0009712
18,491.793,1.07547,1.04646,1.34936,0.87084,0.71619,0.83396,0.55944,1.15095,0.91612,1.41498,0.0009694,0.0009694,0.0009694
19,517.099,1.06606,1.04184,1.34555,0.88319,0.74004,0.84986,0.57497,1.12391,0.91049,1.38957,0.0009676,0.0009676,0.0009676
20,542.751,1.05756,1.02368,1.34659,0.86037,0.75233,0.84978,0.58308,1.12283,0.9442,1.40124,0.0009658,0.0009658,0.0009658
21,568.884,1.03274,0.994,1.33009,0.84857,0.80543,0.87455,0.60302,1.08621,0.86644,1.36476,0.000964,0.000964,0.000964
22,594.365,1.03251,0.99558,1.32719,0.84602,0.78648,0.86455,0.5784,1.14256,0.87784,1.41637,0.0009622,0.0009622,0.0009622
23,619.704,1.03634,0.98604,1.32528,0.86534,0.78787,0.8702,0.60265,1.06891,0.84081,1.33485,0.0009604,0.0009604,0.0009604
24,645.279,1.01018,0.94932,1.30816,0.89193,0.77085,0.87206,0.5965,1.08792,0.84655,1.35963,0.0009586,0.0009586,0.0009586
25,670.588,1.01739,0.94107,1.30683,0.87254,0.76273,0.86976,0.6032,1.08137,0.85515,1.36393,0.0009568,0.0009568,0.0009568
26,695.848,1.01756,0.93875,1.30705,0.86849,0.78033,0.85963,0.58456,1.11108,0.87869,1.37269,0.000955,0.000955,0.000955
27,721.626,0.98882,0.90837,1.29239,0.87804,0.80001,0.88267,0.61759,1.06439,0.80812,1.36121,0.0009532,0.0009532,0.0009532
28,747.004,0.99605,0.91092,1.28846,0.87563,0.78811,0.87193,0.60075,1.07659,0.81819,1.35022,0.0009514,0.0009514,0.0009514
29,772.589,0.98951,0.89922,1.28547,0.88851,0.79661,0.88568,0.61216,1.08287,0.81614,1.34668,0.0009496,0.0009496,0.0009496
30,798.077,0.9985,0.90054,1.29249,0.8888,0.79069,0.88845,0.61399,1.06447,0.81436,1.33478,0.0009478,0.0009478,0.0009478
31,823.67,0.98027,0.88359,1.27191,0.88592,0.79118,0.88628,0.61303,1.061,0.77345,1.33911,0.000946,0.000946,0.000946
32,849.207,0.99076,0.88502,1.2775,0.88163,0.79578,0.88646,0.6236,1.05487,0.81051,1.3246,0.0009442,0.0009442,0.0009442
33,874.807,0.98212,0.87591,1.27175,0.88683,0.82043,0.89652,0.61919,1.07688,0.78506,1.34886,0.0009424,0.0009424,0.0009424
34,900.385,0.97047,0.87752,1.27842,0.88144,0.78824,0.88397,0.61978,1.05084,0.78824,1.31242,0.0009406,0.0009406,0.0009406
35,925.61,0.97715,0.86455,1.26724,0.8857,0.79249,0.88802,0.62003,1.06144,0.78327,1.32206,0.0009388,0.0009388,0.0009388
