epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.925,1.46493,2.31889,1.73737,0.32842,0.36281,0.2532,0.08924,2.04679,3.23746,2.4862,0.000331832,0.000331832,0.0671486
2,219.756,1.42141,1.93481,1.73158,0.47345,0.41529,0.38967,0.18333,1.76033,2.18379,2.14062,0.000653192,0.000653192,0.0341367
3,318.426,1.40707,1.80868,1.71438,0.50595,0.49378,0.47689,0.24438,1.68842,1.97352,2.08716,0.000962553,0.000962553,0.0011127
4,417.722,1.38387,1.74686,1.68983,0.53993,0.49511,0.51131,0.2413,1.61685,2.17409,2.03967,0.000946,0.000946,0.000946
5,517.916,1.3253,1.66992,1.63922,0.64107,0.5446,0.61825,0.35715,1.47203,1.70529,1.91006,0.000928,0.000928,0.000928
6,620.301,1.27395,1.59214,1.60289,0.70615,0.52654,0.63435,0.35548,1.49482,1.62306,1.9483,0.00091,0.00091,0.00091
7,714.285,1.24666,1.52399,1.57994,0.67166,0.57087,0.63938,0.35653,1.44206,1.57301,1.85134,0.000892,0.000892,0.000892
8,817.331,1.22736,1.48724,1.57007,0.69535,0.59557,0.68153,0.40635,1.37811,1.50817,1.81905,0.000874,0.000874,0.000874
9,913.15,1.20602,1.42063,1.54055,0.7297,0.61317,0.71929,0.42452,1.37837,1.45604,1.82963,0.000856,0.000856,0.000856
10,1007.48,1.1966,1.42005,1.53187,0.72477,0.6103,0.70036,0.42103,1.33088,1.41449,1.73866,0.000838,0.000838,0.000838
11,1100.41,1.15908,1.35118,1.50431,0.76972,0.64419,0.75379,0.46947,1.31256,1.31405,1.72995,0.00082,0.00082,0.00082
12,1194.19,1.14581,1.34019,1.49475,0.73574,0.67644,0.75316,0.46431,1.29993,1.27609,1.72792,0.000802,0.000802,0.000802
13,1285.15,1.13192,1.30852,1.47422,0.73995,0.65888,0.74966,0.47245,1.29067,1.26154,1.68833,0.000784,0.000784,0.000784
14,1377.89,1.11899,1.26787,1.47945,0.78866,0.65612,0.77217,0.4814,1.28456,1.20673,1.69449,0.000766,0.000766,0.000766
15,1475.42,1.09581,1.24129,1.46332,0.72771,0.70097,0.7711,0.47483,1.28183,1.25099,1.70217,0.000748,0.000748,0.000748
16,1567.39,1.09984,1.25148,1.45925,0.78221,0.66491,0.76423,0.48246,1.28431,1.25618,1.67641,0.00073,0.00073,0.00073
17,1662.52,1.0837,1.2113,1.44292,0.7852,0.6719,0.78489,0.4919,1.27756,1.19937,1.69539,0.000712,0.000712,0.000712
18,1755.14,1.08699,1.20749,1.43997,0.83728,0.6753,0.79987,0.51242,1.26284,1.16658,1.66855,0.000694,0.000694,0.000694
19,1847.99,1.08029,1.193,1.43983,0.78768,0.72594,0.82133,0.52381,1.24565,1.10095,1.63021,0.000676,0.000676,0.000676
20,1938.38,1.07002,1.18018,1.42462,0.79474,0.72376,0.81039,0.52831,1.25024,1.11577,1.65251,0.000658,0.000658,0.000658
21,2032,1.062,1.1774,1.41945,0.83517,0.7102,0.82273,0.52709,1.21995,1.1144,1.61123,0.00064,0.00064,0.00064
22,2130.24,1.05225,1.14507,1.40918,0.80485,0.73435,0.82401,0.52144,1.23288,1.07719,1.62592,0.000622,0.000622,0.000622
23,2228.32,1.05104,1.1398,1.40862,0.86053,0.71865,0.83533,0.54902,1.18659,1.05177,1.59359,0.000604,0.000604,0.000604
24,2322.46,1.04225,1.1127,1.39442,0.85764,0.73187,0.84186,0.5532,1.17977,1.04752,1.56713,0.000586,0.000586,0.000586
25,2416.01,1.02588,1.09525,1.38823,0.84429,0.73047,0.83735,0.54961,1.20361,1.04003,1.58775,0.000568,0.000568,0.000568
26,2511.13,1.01115,1.07134,1.37502,0.84548,0.72779,0.84873,0.56438,1.16495,1.04284,1.57127,0.00055,0.00055,0.00055
27,2605.69,1.02838,1.07251,1.38538,0.8174,0.75121,0.84457,0.56109,1.18422,1.01322,1.57617,0.000532,0.000532,0.000532
28,2696.3,1.02547,1.07387,1.38334,0.85325,0.7369,0.85175,0.56504,1.15638,1.00951,1.54468,0.000514,0.000514,0.000514
29,2789.32,0.99207,1.02692,1.36797,0.82764,0.76518,0.85438,0.56231,1.17465,0.97436,1.56803,0.000496,0.000496,0.000496
30,2879.67,1.0072,1.06003,1.36909,0.81718,0.77121,0.85533,0.56836,1.15991,0.9956,1.55251,0.000478,0.000478,0.000478
31,2973.12,1.00027,1.05112,1.365,0.8251,0.77458,0.85197,0.55531,1.17802,0.98816,1.56173,0.00046,0.00046,0.00046
32,3069.28,0.97675,1.01604,1.35143,0.84757,0.77329,0.86579,0.57604,1.13454,0.94186,1.53647,0.000442,0.000442,0.000442
33,3161.21,0.99068,1.02219,1.35695,0.85949,0.7711,0.86382,0.57233,1.16082,0.9506,1.55138,0.000424,0.000424,0.000424
34,3252.11,0.97188,0.99538,1.33982,0.85874,0.77136,0.86074,0.57454,1.17784,0.95866,1.56475,0.000406,0.000406,0.000406
35,3341.42,0.95482,0.98266,1.32244,0.81994,0.78393,0.86399,0.58289,1.13201,0.93631,1.52742,0.000388,0.000388,0.000388
36,3431.18,0.97355,0.9876,1.33759,0.84788,0.75137,0.85553,0.57046,1.12128,0.95872,1.50847,0.00037,0.00037,0.00037
37,3520.49,0.96026,0.9597,1.32786,0.85399,0.80205,0.87424,0.58891,1.12736,0.91236,1.51218,0.000352,0.000352,0.000352
38,3610.15,0.96154,0.95665,1.33512,0.84393,0.78532,0.87024,0.59347,1.12639,0.9007,1.5098,0.000334,0.000334,0.000334
39,3702.17,0.95531,0.95826,1.33002,0.8612,0.79242,0.88233,0.59447,1.1207,0.89087,1.50215,0.000316,0.000316,0.000316
40,3795.11,0.94841,0.94895,1.32635,0.87446,0.79103,0.88447,0.59632,1.12137,0.89097,1.50691,0.000298,0.000298,0.000298
41,3887.5,0.92538,0.81628,1.33512,0.87677,0.77233,0.88384,0.59993,1.10524,0.87395,1.48937,0.00028,0.00028,0.00028
42,3980.54,0.90284,0.77191,1.32034,0.86583,0.7872,0.88195,0.60941,1.0872,0.86669,1.47538,0.000262,0.000262,0.000262
43,4088.31,0.89203,0.74729,1.30164,0.87896,0.79322,0.8854,0.61202,1.08912,0.8529,1.46808,0.000244,0.000244,0.000244
