epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.128,1.46493,2.31889,1.73737,0.32842,0.36281,0.2532,0.08924,2.04679,3.23746,2.4862,0.000331832,0.000331832,0.0671486
2,211.455,1.426,1.92498,1.72682,0.41901,0.40273,0.35657,0.16426,1.8627,2.37532,2.27633,0.000663968,0.000663968,0.0341475
3,301.148,1.40795,1.79968,1.70619,0.52846,0.48459,0.48829,0.2586,1.62751,2.21882,2.07412,0.000994904,0.000994904,0.00114505
4,391.095,1.38732,1.75307,1.68567,0.48892,0.51397,0.47847,0.23663,1.64746,2.28151,2.13478,0.0009946,0.0009946,0.0009946
5,483.61,1.34158,1.65485,1.63507,0.6435,0.56062,0.62457,0.34286,1.52705,1.59829,1.9286,0.0009928,0.0009928,0.0009928
6,578.252,1.29076,1.59409,1.60546,0.62747,0.58549,0.62552,0.3454,1.51118,1.66732,1.91338,0.000991,0.000991,0.000991
7,677.063,1.25789,1.54241,1.57946,0.71036,0.55219,0.64796,0.36569,1.45639,1.6771,1.85217,0.0009892,0.0009892,0.0009892
8,775.491,1.2354,1.48875,1.57114,0.69186,0.60695,0.68274,0.4012,1.40962,1.47507,1.84573,0.0009874,0.0009874,0.0009874
9,876.854,1.2284,1.42754,1.55163,0.72611,0.60286,0.70215,0.40317,1.41558,1.45335,1.84525,0.0009856,0.0009856,0.0009856
10,985.37,1.20303,1.42,1.53292,0.65087,0.63513,0.67973,0.40282,1.34054,1.56255,1.75598,0.0009838,0.0009838,0.0009838
11,1094.98,1.17909,1.36695,1.52147,0.79279,0.63002,0.75806,0.45948,1.30665,1.32245,1.71952,0.000982,0.000982,0.000982
12,1201.86,1.17687,1.35471,1.5162,0.76073,0.62111,0.74172,0.44568,1.36714,1.31889,1.80551,0.0009802,0.0009802,0.0009802
13,1306.23,1.15936,1.33214,1.49178,0.76661,0.66813,0.76136,0.46717,1.31399,1.23007,1.72669,0.0009784,0.0009784,0.0009784
14,1412.8,1.14405,1.29888,1.49592,0.76305,0.64082,0.75541,0.46456,1.33782,1.2792,1.73225,0.0009766,0.0009766,0.0009766
15,1520.62,1.11924,1.28073,1.47248,0.75776,0.65656,0.75473,0.45519,1.29885,1.31466,1.7241,0.0009748,0.0009748,0.0009748
16,1627.53,1.1328,1.27754,1.47782,0.77759,0.65611,0.76673,0.4748,1.31255,1.25912,1.72669,0.000973,0.000973,0.000973
17,1738.63,1.11242,1.24555,1.46278,0.74156,0.66841,0.75266,0.46734,1.29953,1.26248,1.7015,0.0009712,0.0009712,0.0009712
18,1849.66,1.11256,1.23883,1.4488,0.8128,0.69722,0.7869,0.48305,1.29555,1.17861,1.69265,0.0009694,0.0009694,0.0009694
19,1974.26,1.10263,1.21733,1.45126,0.77372,0.68123,0.7889,0.49432,1.28926,1.15384,1.67996,0.0009676,0.0009676,0.0009676
20,2095.04,1.1071,1.21455,1.4479,0.79927,0.66596,0.7913,0.49671,1.26176,1.18793,1.67429,0.0009658,0.0009658,0.0009658
21,2215.17,1.09112,1.2091,1.43721,0.78738,0.68649,0.7951,0.50408,1.24824,1.17445,1.65014,0.000964,0.000964,0.000964
22,2320.39,1.09752,1.17745,1.43624,0.79131,0.70828,0.80844,0.5105,1.2584,1.11332,1.6586,0.0009622,0.0009622,0.0009622
23,2423.9,1.08491,1.18602,1.43088,0.8142,0.7292,0.82151,0.51954,1.26668,1.12231,1.67981,0.0009604,0.0009604,0.0009604
24,2528.68,1.07422,1.16702,1.42304,0.84553,0.6645,0.81372,0.52026,1.25665,1.11769,1.63537,0.0009586,0.0009586,0.0009586
25,2621.94,1.06168,1.15719,1.4075,0.84296,0.68973,0.81378,0.52665,1.23827,1.08432,1.63159,0.0009568,0.0009568,0.0009568
26,2713.72,1.06162,1.13391,1.4074,0.77941,0.72215,0.8087,0.50485,1.28091,1.18754,1.70228,0.000955,0.000955,0.000955
27,2804.45,1.07296,1.13734,1.41353,0.808,0.71846,0.82907,0.52903,1.23916,1.08033,1.61885,0.0009532,0.0009532,0.0009532
28,2894.69,1.07053,1.12185,1.41092,0.79317,0.72281,0.81295,0.52934,1.21892,1.09216,1.60083,0.0009514,0.0009514,0.0009514
29,2985.92,1.03837,1.09206,1.3961,0.80802,0.73953,0.83463,0.53918,1.21233,1.05975,1.61656,0.0009496,0.0009496,0.0009496
30,3079.94,1.05322,1.13365,1.40341,0.83559,0.72201,0.83951,0.54916,1.16853,1.0617,1.5578,0.0009478,0.0009478,0.0009478
31,3185.38,1.04835,1.11951,1.39497,0.79612,0.73609,0.83926,0.54035,1.21778,1.10124,1.61946,0.000946,0.000946,0.000946
32,3293.8,1.02792,1.08164,1.38384,0.84041,0.7464,0.84622,0.53891,1.23806,1.00385,1.62069,0.0009442,0.0009442,0.0009442
33,3400.7,1.04596,1.09145,1.39261,0.84173,0.72916,0.84281,0.5422,1.2222,1.02759,1.60649,0.0009424,0.0009424,0.0009424
34,3509.7,1.02634,1.06635,1.37521,0.83613,0.72617,0.83421,0.54964,1.19669,1.00679,1.57256,0.0009406,0.0009406,0.0009406
35,3621.22,1.00803,1.06408,1.36256,0.8401,0.72753,0.84606,0.55782,1.19384,0.99126,1.58534,0.0009388,0.0009388,0.0009388
36,3732.35,1.0415,1.07135,1.38436,0.83066,0.7352,0.84152,0.55917,1.16238,1.00998,1.55711,0.000937,0.000937,0.000937
37,3838.51,1.02419,1.04903,1.37639,0.85107,0.74366,0.85157,0.56089,1.19552,0.99665,1.58871,0.0009352,0.0009352,0.0009352
38,3942.81,1.02072,1.03386,1.37287,0.85895,0.73529,0.84549,0.55324,1.2126,1.00577,1.62103,0.0009334,0.0009334,0.0009334
39,4054.87,1.01492,1.04946,1.36728,0.82386,0.77355,0.86078,0.57229,1.14891,0.96393,1.53304,0.0009316,0.0009316,0.0009316
40,4161.73,1.00831,1.03586,1.36548,0.80178,0.75559,0.84882,0.56545,1.1686,0.96968,1.55876,0.0009298,0.0009298,0.0009298
41,4269.01,1.01439,1.01352,1.37207,0.85945,0.74443,0.85369,0.55284,1.21221,1.00424,1.60557,0.000928,0.000928,0.000928
42,4378.52,1.01168,1.03755,1.36419,0.85904,0.74191,0.8533,0.55151,1.17817,0.98976,1.56222,0.0009262,0.0009262,0.0009262
43,4484.78,0.99112,0.99188,1.35065,0.87337,0.72016,0.8542,0.56111,1.20089,0.98676,1.57756,0.0009244,0.0009244,0.0009244
44,4583.4,0.99289,0.9943,1.35164,0.85186,0.74435,0.85863,0.57892,1.16399,0.9472,1.5478,0.0009226,0.0009226,0.0009226
45,4670.87,0.9938,0.99327,1.34526,0.83859,0.75019,0.85498,0.57816,1.14614,0.95863,1.53201,0.0009208,0.0009208,0.0009208
46,4759.13,1.00318,1.01242,1.35549,0.8281,0.77323,0.85159,0.56686,1.14716,0.94296,1.54539,0.000919,0.000919,0.000919
47,4845.97,0.98089,0.98964,1.34535,0.82677,0.76233,0.85368,0.56751,1.15636,0.95324,1.51955,0.0009172,0.0009172,0.0009172
48,4936.38,0.99895,1.00102,1.35201,0.83626,0.76427,0.8611,0.57713,1.14577,0.93493,1.52759,0.0009154,0.0009154,0.0009154
49,5028.49,0.98359,0.98123,1.34943,0.84009,0.77647,0.8643,0.57887,1.15064,0.90491,1.51482,0.0009136,0.0009136,0.0009136
50,5120.62,0.98853,0.97679,1.35068,0.83378,0.7834,0.86911,0.58335,1.14932,0.92663,1.53553,0.0009118,0.0009118,0.0009118
51,5213.32,0.97482,0.95286,1.34132,0.86491,0.75538,0.86766,0.58697,1.14367,0.92372,1.51112,0.00091,0.00091,0.00091
52,5311.19,0.99103,0.9744,1.34387,0.86968,0.74685,0.86878,0.57821,1.13911,0.90748,1.53173,0.0009082,0.0009082,0.0009082
53,5404.41,0.99303,0.98462,1.34909,0.84019,0.76071,0.86006,0.57338,1.15702,0.93249,1.53063,0.0009064,0.0009064,0.0009064
54,5499.01,0.9788,0.95157,1.33325,0.88073,0.73078,0.8668,0.58249,1.14255,0.90984,1.52498,0.0009046,0.0009046,0.0009046
55,5596.39,0.97203,0.93788,1.32896,0.80334,0.82095,0.87235,0.58094,1.12745,0.922,1.52052,0.0009028,0.0009028,0.0009028
56,5688.22,0.97008,0.96324,1.3243,0.87184,0.75649,0.87221,0.57673,1.15624,0.89998,1.52702,0.000901,0.000901,0.000901
57,5778.81,0.97235,0.95469,1.32707,0.84525,0.80318,0.88269,0.59627,1.14367,0.88634,1.52579,0.0008992,0.0008992,0.0008992
58,5870.08,0.96304,0.95211,1.328,0.84994,0.788,0.8684,0.58209,1.14374,0.89047,1.52018,0.0008974,0.0008974,0.0008974
59,5958.51,0.96686,0.96321,1.33004,0.85695,0.77309,0.86962,0.58866,1.11838,0.9005,1.49899,0.0008956,0.0008956,0.0008956
60,6044.76,0.94592,0.92267,1.31284,0.87911,0.77697,0.87648,0.59594,1.1125,0.88566,1.49049,0.0008938,0.0008938,0.0008938
61,6133,0.96361,0.93592,1.3194,0.87056,0.7597,0.87131,0.59159,1.12149,0.90263,1.50555,0.000892,0.000892,0.000892
62,6221.15,0.95612,0.90878,1.3094,0.86014,0.80192,0.88957,0.59725,1.13399,0.86065,1.51158,0.0008902,0.0008902,0.0008902
63,6310.55,0.97036,0.93896,1.31676,0.88002,0.76756,0.87742,0.60973,1.09593,0.87357,1.48529,0.0008884,0.0008884,0.0008884
64,6397.37,0.95517,0.93212,1.31095,0.87507,0.76859,0.88342,0.59692,1.11189,0.88457,1.47869,0.0008866,0.0008866,0.0008866
65,6484.33,0.95915,0.91292,1.31104,0.8602,0.80275,0.88047,0.59454,1.13394,0.8862,1.50984,0.0008848,0.0008848,0.0008848
66,6571.01,0.96543,0.93055,1.31534,0.87561,0.77935,0.88531,0.60272,1.10759,0.86177,1.48697,0.000883,0.000883,0.000883
67,6657,0.95146,0.9147,1.30516,0.8804,0.77676,0.88041,0.60837,1.10864,0.84109,1.48416,0.0008812,0.0008812,0.0008812
68,6743.55,0.96915,0.9095,1.31812,0.83327,0.81414,0.88778,0.60148,1.1095,0.86239,1.48858,0.0008794,0.0008794,0.0008794
69,6829.64,0.95094,0.9221,1.31163,0.85737,0.7698,0.87204,0.59891,1.11751,0.86962,1.48685,0.0008776,0.0008776,0.0008776
70,6915.79,0.9474,0.90427,1.30789,0.87062,0.79134,0.88336,0.60435,1.12561,0.85864,1.50452,0.0008758,0.0008758,0.0008758
71,7007.81,0.94855,0.90211,1.30098,0.86399,0.79478,0.8869,0.60726,1.11112,0.85293,1.48235,0.000874,0.000874,0.000874
72,7090.46,0.94648,0.91225,1.30993,0.86918,0.78205,0.88491,0.59017,1.14005,0.86825,1.51695,0.0008722,0.0008722,0.0008722
73,7178.18,0.93225,0.87022,1.2877,0.86411,0.79399,0.89086,0.61301,1.10863,0.82592,1.47817,0.0008704,0.0008704,0.0008704
74,7262.22,0.95192,0.90943,1.30318,0.86172,0.80071,0.88807,0.61371,1.11135,0.85529,1.48356,0.0008686,0.0008686,0.0008686
75,7345.16,0.93425,0.87524,1.29407,0.87503,0.81331,0.89287,0.61962,1.0961,0.82477,1.46623,0.0008668,0.0008668,0.0008668
76,7427.88,0.94217,0.90865,1.30475,0.87259,0.78592,0.88358,0.60747,1.10963,0.86587,1.48607,0.000865,0.000865,0.000865
77,7509.84,0.93169,0.89002,1.2969,0.85912,0.81322,0.89271,0.609,1.10595,0.82784,1.48566,0.0008632,0.0008632,0.0008632
78,7591.76,0.91509,0.85449,1.28492,0.88277,0.80028,0.89295,0.61415,1.11121,0.81198,1.4837,0.0008614,0.0008614,0.0008614
79,7673.77,0.93429,0.87761,1.29737,0.87772,0.8021,0.89507,0.61561,1.09965,0.8227,1.4753,0.0008596,0.0008596,0.0008596
80,7755.49,0.92297,0.85727,1.27625,0.85918,0.81526,0.89383,0.61399,1.09698,0.79582,1.47151,0.0008578,0.0008578,0.0008578
81,7837.24,0.92706,0.87912,1.29514,0.87374,0.80631,0.89259,0.61151,1.11166,0.82181,1.49109,0.000856,0.000856,0.000856
82,7918.31,0.93475,0.8721,1.29117,0.885,0.79466,0.89111,0.61267,1.10137,0.81673,1.47099,0.0008542,0.0008542,0.0008542
83,8000.16,0.9244,0.86048,1.28431,0.86127,0.81956,0.89876,0.61662,1.1097,0.80848,1.482,0.0008524,0.0008524,0.0008524
84,8085.52,0.94004,0.87901,1.28902,0.88135,0.80961,0.89846,0.62854,1.07246,0.79624,1.45972,0.0008506,0.0008506,0.0008506
85,8166.91,0.91922,0.85718,1.28679,0.86737,0.80893,0.89514,0.61615,1.09013,0.82122,1.464,0.0008488,0.0008488,0.0008488
86,8248.15,0.926,0.86049,1.27979,0.87002,0.80681,0.89831,0.6161,1.11179,0.80356,1.47519,0.000847,0.000847,0.000847
87,8329.48,0.92021,0.85163,1.27462,0.88793,0.81007,0.89662,0.61915,1.09664,0.80173,1.47133,0.0008452,0.0008452,0.0008452
88,8410.86,0.9201,0.8444,1.27597,0.87487,0.8,0.89133,0.61967,1.09995,0.80541,1.4732,0.0008434,0.0008434,0.0008434
89,8492.28,0.90756,0.84148,1.26557,0.87549,0.83224,0.90597,0.62707,1.07713,0.7869,1.44345,0.0008416,0.0008416,0.0008416
90,8573.16,0.90273,0.82303,1.27169,0.86457,0.81512,0.89014,0.61752,1.09677,0.8007,1.48201,0.0008398,0.0008398,0.0008398
91,8654.39,0.9137,0.83537,1.27564,0.86919,0.82182,0.89883,0.61777,1.0965,0.79993,1.47107,0.000838,0.000838,0.000838
92,8735.09,0.90299,0.83569,1.26576,0.87181,0.82088,0.89613,0.61091,1.10516,0.80613,1.4694,0.0008362,0.0008362,0.0008362
93,8816.14,0.90851,0.84596,1.27475,0.88487,0.81443,0.90061,0.61986,1.11808,0.80878,1.4825,0.0008344,0.0008344,0.0008344
94,8897.55,0.89834,0.84184,1.26721,0.88733,0.80567,0.89662,0.62485,1.07746,0.79458,1.45731,0.0008326,0.0008326,0.0008326
