epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.706,1.58048,2.75045,1.8728,0.23303,0.23147,0.1657,0.06855,1.89523,2.96681,2.37663,0.000331832,0.000331832,0.0671486
2,244.878,1.55578,2.38839,1.88735,0.34467,0.37841,0.27801,0.12044,1.82904,2.45857,2.34436,0.000653192,0.000653192,0.0341367
3,353.394,1.53738,2.26484,1.86373,0.36615,0.35331,0.31757,0.16091,1.76545,2.30822,2.25068,0.000962553,0.000962553,0.0011127
4,458.051,1.53814,2.20634,1.85507,0.48211,0.38341,0.38941,0.18889,1.76905,2.18027,2.27212,0.000946,0.000946,0.000946
5,550.311,1.51415,2.15052,1.83901,0.43202,0.43698,0.41153,0.20318,1.75548,2.21375,2.22556,0.000928,0.000928,0.000928
6,629.338,1.4655,2.0979,1.81275,0.53256,0.39494,0.44505,0.21761,1.74358,2.07772,2.21106,0.00091,0.00091,0.00091
7,708.881,1.44928,2.06203,1.7953,0.52828,0.42655,0.46339,0.24421,1.64518,2.02863,2.15269,0.000892,0.000892,0.000892
8,798.67,1.4377,2.03013,1.79045,0.4934,0.4345,0.45249,0.23953,1.66481,2.0548,2.16846,0.000874,0.000874,0.000874
9,880.403,1.43701,2.00636,1.78074,0.52396,0.44779,0.47479,0.25644,1.64555,1.97987,2.14726,0.000856,0.000856,0.000856
10,959.354,1.42355,2.00051,1.77984,0.48696,0.42838,0.44321,0.22969,1.70423,2.08527,2.17698,0.000838,0.000838,0.000838
11,1037.97,1.40342,1.9654,1.76309,0.60695,0.45526,0.51613,0.28749,1.62853,1.93124,2.12129,0.00082,0.00082,0.00082
12,1116.64,1.41319,1.98504,1.76794,0.50277,0.49781,0.48486,0.25747,1.64279,1.97774,2.1231,0.000802,0.000802,0.000802
13,1196.93,1.39176,1.95851,1.75181,0.576,0.44164,0.50218,0.27134,1.63651,1.966,2.13714,0.000784,0.000784,0.000784
14,1277.57,1.37726,1.9279,1.75236,0.59506,0.44429,0.50295,0.28069,1.62338,1.90355,2.13089,0.000766,0.000766,0.000766
15,1356.56,1.36203,1.89357,1.74048,0.59449,0.46018,0.51897,0.29166,1.59842,1.93162,2.08324,0.000748,0.000748,0.000748
16,1436.31,1.37442,1.91658,1.74259,0.58713,0.47875,0.52266,0.3037,1.58861,1.85316,2.08928,0.00073,0.00073,0.00073
17,1526.11,1.37518,1.91359,1.74514,0.55437,0.44823,0.49615,0.26158,1.65813,1.95025,2.13763,0.000712,0.000712,0.000712
18,1611.14,1.3895,1.90614,1.74051,0.62961,0.47131,0.54181,0.30406,1.58657,1.89174,2.07957,0.000694,0.000694,0.000694
19,1694.91,1.36194,1.87977,1.72584,0.60933,0.48459,0.55059,0.30609,1.61029,1.84021,2.10116,0.000676,0.000676,0.000676
20,1780.54,1.36335,1.8965,1.73356,0.58581,0.46604,0.52334,0.28716,1.61453,1.91839,2.09247,0.000658,0.000658,0.000658
21,1869.25,1.34932,1.88078,1.72376,0.57585,0.48371,0.53126,0.29726,1.57973,1.87744,2.09992,0.00064,0.00064,0.00064
22,1955.38,1.3462,1.8743,1.71449,0.59918,0.4856,0.53792,0.30062,1.58944,1.83527,2.08443,0.000622,0.000622,0.000622
23,2037.58,1.35136,1.87775,1.71757,0.55344,0.49174,0.53491,0.29528,1.56894,1.96164,2.06151,0.000604,0.000604,0.000604
24,2122.03,1.33713,1.8515,1.70685,0.58265,0.50942,0.55074,0.31233,1.5871,1.81332,2.06685,0.000586,0.000586,0.000586
25,2203.7,1.33619,1.84576,1.70773,0.57118,0.51787,0.55623,0.31659,1.55746,1.85624,2.04335,0.000568,0.000568,0.000568
26,2286.05,1.32561,1.83049,1.6996,0.66126,0.48722,0.57261,0.33522,1.52208,1.77263,2.03552,0.00055,0.00055,0.00055
27,2371.26,1.33807,1.87476,1.70603,0.6323,0.49817,0.57075,0.32978,1.55709,1.78812,2.05306,0.000532,0.000532,0.000532
28,2482.62,1.332,1.83186,1.70268,0.61268,0.49014,0.5579,0.31151,1.5742,1.80344,2.05512,0.000514,0.000514,0.000514
