epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0791,1.58048,2.75045,1.8728,0.23303,0.23147,0.1657,0.06855,1.89523,2.96681,2.37663,0.000331832,0.000331832,0.0671486
2,174.786,1.55529,2.39173,1.8863,0.34692,0.39369,0.28755,0.12615,1.85425,2.44004,2.35189,0.000663968,0.000663968,0.0341475
3,253.654,1.54647,2.263,1.87071,0.39242,0.33605,0.30378,0.15279,1.7597,2.34653,2.24302,0.000994904,0.000994904,0.00114505
4,332.86,1.53795,2.2073,1.8561,0.49443,0.38414,0.38185,0.18506,1.80335,2.20885,2.30581,0.0009946,0.0009946,0.0009946
5,411.929,1.51315,2.15411,1.84123,0.47544,0.41785,0.41668,0.20452,1.73496,2.21117,2.22838,0.0009928,0.0009928,0.0009928
6,492.222,1.47382,2.09751,1.81389,0.50921,0.4172,0.43467,0.21088,1.74774,2.16958,2.23169,0.000991,0.000991,0.000991
7,572.023,1.45706,2.07551,1.80184,0.54134,0.439,0.46604,0.23827,1.6729,2.07007,2.17674,0.0009892,0.0009892,0.0009892
8,652.173,1.4504,2.04309,1.7995,0.50342,0.429,0.44735,0.22926,1.66286,2.10826,2.15179,0.0009874,0.0009874,0.0009874
9,732.917,1.44436,2.00464,1.78463,0.46548,0.46341,0.45505,0.2376,1.69853,2.0184,2.18397,0.0009856,0.0009856,0.0009856
10,813.702,1.42779,1.9987,1.78292,0.49569,0.44997,0.45365,0.24486,1.67971,2.01973,2.15679,0.0009838,0.0009838,0.0009838
11,897.531,1.40496,1.96312,1.76707,0.58786,0.43642,0.4935,0.269,1.64802,2.06321,2.14586,0.000982,0.000982,0.000982
12,978.707,1.41544,1.9826,1.77277,0.50384,0.44571,0.46962,0.24559,1.65798,2.00498,2.15994,0.0009802,0.0009802,0.0009802
13,1060.2,1.40294,1.94927,1.75716,0.54651,0.43568,0.48042,0.25752,1.65642,1.99815,2.15716,0.0009784,0.0009784,0.0009784
14,1144.71,1.39765,1.93788,1.76172,0.54558,0.46007,0.48584,0.25897,1.68819,1.95205,2.16424,0.0009766,0.0009766,0.0009766
15,1223.5,1.37267,1.89847,1.74804,0.52237,0.46356,0.48352,0.26886,1.62671,2.00679,2.11478,0.0009748,0.0009748,0.0009748
16,1302.73,1.37854,1.92487,1.74923,0.59543,0.46868,0.52141,0.30176,1.59803,1.87056,2.1006,0.000973,0.000973,0.000973
17,1381.38,1.39194,1.91164,1.75846,0.48837,0.44721,0.46674,0.25208,1.64819,1.96457,2.12405,0.0009712,0.0009712,0.0009712
18,1460.13,1.39361,1.89975,1.74557,0.64744,0.43701,0.52868,0.28849,1.64381,1.93735,2.14197,0.0009694,0.0009694,0.0009694
19,1538.72,1.37587,1.87139,1.73952,0.61459,0.49029,0.55254,0.29765,1.63701,1.86255,2.12203,0.0009676,0.0009676,0.0009676
20,1617.98,1.37923,1.8994,1.74528,0.52822,0.47422,0.51186,0.27895,1.65986,1.92914,2.13823,0.0009658,0.0009658,0.0009658
21,1696.42,1.37115,1.88649,1.73696,0.5549,0.48858,0.51854,0.28468,1.60447,1.85241,2.11279,0.000964,0.000964,0.000964
22,1777.13,1.36597,1.8768,1.72761,0.60405,0.47555,0.53041,0.29287,1.60159,1.84461,2.09899,0.0009622,0.0009622,0.0009622
23,1856.99,1.36432,1.88016,1.72999,0.6483,0.43804,0.52504,0.28898,1.59489,1.99102,2.09661,0.0009604,0.0009604,0.0009604
24,1935.49,1.3523,1.85599,1.71912,0.59565,0.49307,0.53903,0.30413,1.6028,1.84135,2.08545,0.0009586,0.0009586,0.0009586
25,2012.61,1.34843,1.85629,1.72186,0.59484,0.49449,0.55554,0.31052,1.57883,1.85322,2.09516,0.0009568,0.0009568,0.0009568
