epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.6212,3.12468,3.65152,3.40081,0.00664,0.26183,0.00312,0.00079,2.98825,4.10344,3.31371,0.000331832,0.000331832,0.0671486
2,74.9095,2.4399,3.13517,2.83047,0.73119,0.11861,0.11606,0.04968,2.58621,4.09079,3.00747,0.000663968,0.000663968,0.0341475
3,97.4452,2.12559,2.72086,2.52184,0.84667,0.15199,0.19109,0.09662,2.32093,3.01844,2.7426,0.000994904,0.000994904,0.00114505
4,119.719,1.98152,2.55803,2.37318,0.81191,0.16903,0.20379,0.12111,2.21318,2.8124,2.66049,0.0009946,0.0009946,0.0009946
5,141.921,1.85418,2.40595,2.25907,0.45372,0.18843,0.23648,0.14433,2.14796,2.59983,2.51159,0.0009928,0.0009928,0.0009928
6,164.391,1.81516,2.3445,2.20076,0.37793,0.28209,0.28229,0.16841,1.99952,2.42055,2.46566,0.000991,0.000991,0.000991
7,186.836,1.73169,2.22461,2.12902,0.38636,0.29417,0.30411,0.19015,1.91348,2.36963,2.38654,0.0009892,0.0009892,0.0009892
8,209.11,1.68827,2.1387,2.08129,0.51653,0.30267,0.34138,0.20115,1.88292,2.6953,2.32364,0.0009874,0.0009874,0.0009874
9,231.503,1.66809,2.10639,2.05345,0.528,0.27608,0.33981,0.20287,1.85403,2.35899,2.27595,0.0009856,0.0009856,0.0009856
10,253.793,1.62841,2.0201,2.00578,0.47393,0.38522,0.39609,0.22934,1.79766,2.14924,2.23563,0.0009838,0.0009838,0.0009838
11,275.96,1.61034,1.99573,1.98981,0.63082,0.38047,0.4341,0.25367,1.79054,2.02908,2.208,0.000982,0.000982,0.000982
12,298.451,1.57236,1.94493,1.95608,0.51506,0.38704,0.41106,0.24152,1.75817,2.03356,2.18013,0.0009802,0.0009802,0.0009802
13,320.543,1.58338,1.9268,1.95974,0.45719,0.36091,0.3768,0.22974,1.82054,2.24754,2.25526,0.0009784,0.0009784,0.0009784
14,343.187,1.53361,1.88432,1.91618,0.57121,0.40693,0.45296,0.2739,1.66525,1.91696,2.08705,0.0009766,0.0009766,0.0009766
15,365.534,1.52326,1.8502,1.89287,0.51898,0.42467,0.45773,0.26731,1.67826,1.89362,2.10406,0.0009748,0.0009748,0.0009748
16,387.658,1.50375,1.80358,1.87446,0.65431,0.40857,0.49081,0.28638,1.68292,1.84453,2.07598,0.000973,0.000973,0.000973
17,410.12,1.46348,1.77434,1.85423,0.55318,0.44746,0.48325,0.28413,1.67872,1.79568,2.10758,0.0009712,0.0009712,0.0009712
18,432.37,1.46944,1.75207,1.84229,0.60597,0.46565,0.52071,0.32509,1.56887,1.69718,1.98604,0.0009694,0.0009694,0.0009694
19,454.593,1.4567,1.76033,1.83629,0.65345,0.47638,0.54819,0.33257,1.54674,1.6831,1.96295,0.0009676,0.0009676,0.0009676
20,476.932,1.41766,1.67659,1.80088,0.6649,0.47405,0.54611,0.33163,1.55578,1.64509,1.96131,0.0009658,0.0009658,0.0009658
21,499.083,1.40181,1.66456,1.79957,0.62735,0.46068,0.53175,0.32543,1.55611,1.64927,1.98501,0.000964,0.000964,0.000964
22,521.291,1.40938,1.65157,1.79112,0.66906,0.4589,0.54833,0.33561,1.53856,1.62694,1.95184,0.0009622,0.0009622,0.0009622
23,543.567,1.40128,1.63503,1.78078,0.68333,0.50966,0.59193,0.35659,1.51853,1.56372,1.9283,0.0009604,0.0009604,0.0009604
24,566.021,1.36583,1.58676,1.75072,0.65262,0.50719,0.58571,0.36108,1.47076,1.54514,1.88037,0.0009586,0.0009586,0.0009586
25,588.052,1.35811,1.59143,1.74023,0.69132,0.52505,0.5973,0.36545,1.47813,1.56142,1.89806,0.0009568,0.0009568,0.0009568
26,610.392,1.35679,1.57528,1.7396,0.74802,0.49178,0.61172,0.37242,1.49577,1.52178,1.90835,0.000955,0.000955,0.000955
27,632.576,1.32202,1.52657,1.71183,0.68389,0.52135,0.62189,0.37938,1.44688,1.4553,1.86333,0.0009532,0.0009532,0.0009532
28,654.656,1.31782,1.51432,1.70029,0.66834,0.55899,0.62259,0.38722,1.4366,1.43218,1.85621,0.0009514,0.0009514,0.0009514
29,677.24,1.33373,1.53504,1.72071,0.71101,0.57149,0.65048,0.41309,1.38153,1.41031,1.80409,0.0009496,0.0009496,0.0009496
30,699.307,1.30016,1.49857,1.69333,0.73437,0.56803,0.65704,0.40918,1.38617,1.38334,1.78977,0.0009478,0.0009478,0.0009478
31,721.54,1.30174,1.47821,1.68251,0.77542,0.55646,0.67379,0.41072,1.40263,1.4087,1.82411,0.000946,0.000946,0.000946
32,743.928,1.30428,1.47022,1.68771,0.75324,0.56736,0.66961,0.41831,1.38117,1.38702,1.7871,0.0009442,0.0009442,0.0009442
33,765.975,1.28717,1.43982,1.66469,0.73685,0.60221,0.67679,0.42407,1.37204,1.37819,1.78322,0.0009424,0.0009424,0.0009424
34,788.265,1.2748,1.42658,1.65981,0.7468,0.58239,0.66902,0.41636,1.39906,1.38071,1.78299,0.0009406,0.0009406,0.0009406
35,810.583,1.27604,1.42378,1.65408,0.72391,0.58757,0.66602,0.40706,1.41342,1.34297,1.82144,0.0009388,0.0009388,0.0009388
36,832.606,1.2471,1.36886,1.63411,0.76891,0.59978,0.69355,0.43643,1.35603,1.29359,1.77241,0.000937,0.000937,0.000937
37,854.838,1.2567,1.38801,1.64019,0.78338,0.58487,0.70154,0.43991,1.35415,1.30741,1.75602,0.0009352,0.0009352,0.0009352
38,876.96,1.26942,1.36912,1.64365,0.71656,0.60739,0.68371,0.42414,1.37578,1.30825,1.75342,0.0009334,0.0009334,0.0009334
39,899.102,1.23454,1.34885,1.61435,0.7697,0.6273,0.72025,0.45842,1.32068,1.22762,1.72959,0.0009316,0.0009316,0.0009316
40,921.37,1.22812,1.34254,1.60441,0.77732,0.60847,0.70119,0.45086,1.3158,1.31114,1.7041,0.0009298,0.0009298,0.0009298
41,943.488,1.21529,1.33041,1.59828,0.77858,0.61832,0.71804,0.43981,1.35592,1.23724,1.75355,0.000928,0.000928,0.000928
42,965.729,1.21426,1.30682,1.59807,0.77579,0.61767,0.71726,0.45384,1.30187,1.22777,1.68596,0.0009262,0.0009262,0.0009262
43,987.945,1.20435,1.3219,1.59486,0.73986,0.65293,0.73832,0.47689,1.29924,1.19277,1.69824,0.0009244,0.0009244,0.0009244
44,1010.28,1.22018,1.3244,1.59976,0.80517,0.62713,0.74141,0.47329,1.29333,1.17669,1.69671,0.0009226,0.0009226,0.0009226
45,1032.4,1.20746,1.31061,1.58861,0.7614,0.64128,0.73861,0.46806,1.2938,1.19442,1.68518,0.0009208,0.0009208,0.0009208
