epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.11,3.06185,3.68802,3.45993,0.00108,0.25563,0.00076,0.00021,3.33952,4.47589,3.78831,0.000331832,0.000331832,0.0671486
2,204.166,2.4079,3.36097,2.9248,0.60401,0.10657,0.04711,0.01224,2.63784,3.784,3.32428,0.000663968,0.000663968,0.0341475
3,299.406,2.16157,3.03569,2.64238,0.63837,0.13358,0.08577,0.03194,2.42976,5.37755,3.09786,0.000994904,0.000994904,0.00114505
4,394.309,2.02633,2.84311,2.48786,0.76452,0.15036,0.1594,0.08604,2.31934,3.16232,2.96993,0.0009946,0.0009946,0.0009946
5,490.966,1.96657,2.72569,2.4093,0.78447,0.1527,0.19833,0.11589,2.2052,3.01789,2.83034,0.0009928,0.0009928,0.0009928
6,586.741,1.86103,2.59722,2.31176,0.55516,0.19679,0.24655,0.1485,2.04061,2.74892,2.64963,0.000991,0.000991,0.000991
7,681.68,1.80982,2.50441,2.26081,0.35739,0.23286,0.22456,0.12251,2.10283,2.74355,2.6656,0.0009892,0.0009892,0.0009892
8,776.423,1.74856,2.42355,2.22544,0.3585,0.2422,0.23264,0.12492,2.02906,2.68434,2.60185,0.0009874,0.0009874,0.0009874
9,873.248,1.71531,2.3379,2.18103,0.4104,0.30275,0.28734,0.16521,1.95374,2.47212,2.58114,0.0009856,0.0009856,0.0009856
10,970.016,1.69128,2.28706,2.15434,0.34972,0.31476,0.29316,0.17803,1.95052,2.43353,2.57134,0.0009838,0.0009838,0.0009838
11,1064.92,1.63894,2.21531,2.10632,0.51893,0.30995,0.35192,0.20541,1.88789,2.33299,2.48189,0.000982,0.000982,0.000982
12,1160.3,1.62774,2.20097,2.10375,0.51219,0.33039,0.35731,0.20322,1.91095,2.25373,2.4972,0.0009802,0.0009802,0.0009802
13,1255.5,1.59613,2.15848,2.05691,0.57822,0.31261,0.38045,0.22891,1.79313,2.53816,2.36758,0.0009784,0.0009784,0.0009784
14,1351.24,1.55264,2.11165,2.02487,0.49537,0.38778,0.40278,0.24265,1.75704,2.13046,2.33458,0.0009766,0.0009766,0.0009766
15,1446.39,1.54203,2.06024,2.01405,0.56097,0.37566,0.41538,0.24128,1.77181,2.11162,2.3357,0.0009748,0.0009748,0.0009748
16,1541.05,1.52438,2.0444,2.00306,0.60975,0.38924,0.44013,0.2655,1.70614,2.04003,2.30069,0.000973,0.000973,0.000973
17,1637.63,1.51244,2.02598,1.98204,0.61125,0.36894,0.43906,0.25869,1.73201,2.20779,2.30517,0.0009712,0.0009712,0.0009712
