epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.04,0.95357,0.83092,1.39737,0.8337,0.66339,0.78875,0.52766,1.21626,1.07007,1.58547,0.000331641,0.000331641,0.0671675
2,156.037,1.00383,0.90279,1.43458,0.77497,0.64944,0.73689,0.48027,1.29225,1.19033,1.63718,0.000605127,0.000605127,0.0341077
3,234.053,1.01281,0.91685,1.44631,0.80115,0.66389,0.76526,0.50097,1.24064,1.12493,1.62203,0.000818613,0.000818613,0.000987817
4,312.283,1.00045,0.88856,1.44086,0.83675,0.68332,0.78501,0.51393,1.27362,1.08564,1.66398,0.00073,0.00073,0.00073
5,397.078,0.97858,0.84427,1.42307,0.8516,0.70315,0.81992,0.53618,1.22894,1.03476,1.6054,0.00064,0.00064,0.00064
6,477.863,0.95846,0.79394,1.40288,0.8487,0.74332,0.8289,0.54932,1.18882,0.96018,1.56274,0.00055,0.00055,0.00055
7,554.122,0.91,0.73931,1.3626,0.86274,0.7631,0.85412,0.58604,1.13674,0.89188,1.51078,0.00046,0.00046,0.00046
8,628.406,0.87576,0.67595,1.33493,0.8704,0.7612,0.85611,0.59525,1.0936,0.87725,1.46876,0.00037,0.00037,0.00037
9,702.944,0.83636,0.63375,1.29057,0.85463,0.79001,0.86913,0.60628,1.10354,0.81739,1.4892,0.00028,0.00028,0.00028
10,778.091,0.81672,0.60254,1.26532,0.89132,0.78964,0.88033,0.61241,1.08592,0.78486,1.45259,0.00019,0.00019,0.00019
