epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4658,1.95044,3.5058,2.22634,0.00224,0.38441,0.02805,0.00895,2.39587,3.99643,3.50671,0.000325926,0.000325926,0.0677333
2,70.3029,1.70791,2.63209,2.07462,0.38087,0.03267,0.17869,0.07443,1.96048,3.21316,2.62142,0.000599926,0.000599926,0.034674
3,97.2812,1.68765,2.31832,2.07418,0.26929,0.25723,0.20089,0.10336,2.0603,4.55979,3.03247,0.000813926,0.000813926,0.00155467
4,122.005,1.62286,2.11425,2.00831,0.32262,0.37683,0.28398,0.11577,2.00348,2.65785,2.51697,0.00073,0.00073,0.00073
5,146.714,1.53167,1.94685,1.92948,0.52481,0.42365,0.44058,0.21744,1.73845,2.31203,2.21219,0.00064,0.00064,0.00064
6,172.371,1.50882,1.824,1.90005,0.62745,0.43903,0.51675,0.28765,1.65209,1.94407,2.06797,0.00055,0.00055,0.00055
7,198.296,1.3933,1.69378,1.79715,0.62409,0.46998,0.53314,0.29894,1.62194,1.76259,2.05098,0.00046,0.00046,0.00046
8,226.957,1.36241,1.58361,1.75383,0.61643,0.50601,0.57579,0.32598,1.56945,1.72887,1.9637,0.00037,0.00037,0.00037
9,254.036,1.28569,1.53142,1.69417,0.64647,0.54635,0.61015,0.34269,1.54062,1.63418,1.95251,0.00028,0.00028,0.00028
10,281.809,1.26119,1.45829,1.66354,0.67392,0.54302,0.62702,0.35946,1.49818,1.58269,1.88598,0.00019,0.00019,0.00019
