epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5541,1.17412,1.45953,1.7509,0.52513,0.42721,0.4571,0.26773,1.66829,2.03388,2.16317,0.000330667,0.000330667,0.067264
2,92.1991,1.17103,1.42007,1.75535,0.61911,0.42794,0.4947,0.2864,1.64719,1.93181,2.18352,0.00060424,0.00060424,0.0342042
3,136.858,1.19874,1.44019,1.78948,0.56902,0.45539,0.49528,0.28302,1.67707,1.90292,2.19446,0.000817813,0.000817813,0.00108448
4,181.194,1.1659,1.39284,1.75468,0.60511,0.45715,0.5181,0.30094,1.65364,1.8743,2.16822,0.00073,0.00073,0.00073
5,226.089,1.19077,1.39044,1.78345,0.61077,0.45059,0.51689,0.29722,1.62936,1.8903,2.10844,0.00064,0.00064,0.00064
6,270.273,1.14745,1.36015,1.74341,0.59094,0.46493,0.52731,0.31452,1.57985,1.83467,2.09139,0.00055,0.00055,0.00055
7,315.061,1.12141,1.32668,1.70955,0.6575,0.4367,0.52664,0.31076,1.60566,1.82315,2.10441,0.00046,0.00046,0.00046
8,359.802,1.11367,1.32392,1.69993,0.62371,0.45566,0.53063,0.31845,1.55916,1.79268,2.04695,0.00037,0.00037,0.00037
9,404.437,1.08395,1.29578,1.68722,0.66609,0.45231,0.54689,0.32312,1.56951,1.77563,2.05023,0.00028,0.00028,0.00028
10,449.25,1.07639,1.27436,1.66569,0.69245,0.43855,0.55049,0.32955,1.54599,1.77635,2.02933,0.00019,0.00019,0.00019
