epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6153,1.21042,1.21205,1.96127,0.43029,0.2296,0.25433,0.15395,2.21306,2.54292,2.71157,0.00032967,0.00032967,0.0673626
2,31.6324,1.19591,1.19342,1.949,0.37346,0.25463,0.27286,0.16715,2.15829,2.63417,2.63528,0.000603333,0.000603333,0.034303
3,43.379,1.1905,1.20542,1.95117,0.38493,0.25748,0.256,0.1625,2.11285,2.69985,2.61386,0.000816996,0.000816996,0.0011833
4,55.3703,1.17955,1.19251,1.91803,0.48104,0.26112,0.29906,0.18139,2.10197,2.31498,2.60169,0.00073,0.00073,0.00073
5,67.0803,1.14982,1.14151,1.89348,0.45343,0.27271,0.2918,0.17848,2.0637,2.29583,2.56878,0.00064,0.00064,0.00064
6,79.0924,1.11531,1.10527,1.85631,0.45731,0.27542,0.31029,0.19289,2.02079,2.19999,2.5202,0.00055,0.00055,0.00055
7,90.7263,1.09417,1.09465,1.82754,0.4181,0.29232,0.30371,0.18626,2.03838,2.22435,2.54861,0.00046,0.00046,0.00046
8,102.594,1.08682,1.07591,1.81916,0.39546,0.32456,0.31578,0.19658,1.98067,2.14255,2.46839,0.00037,0.00037,0.00037
9,114.323,1.02845,1.0384,1.76126,0.4742,0.30603,0.32827,0.20208,1.98878,2.19642,2.50577,0.00028,0.00028,0.00028
10,126.262,1.03188,0.99418,1.75474,0.446,0.33216,0.34448,0.21244,1.94712,2.13315,2.45537,0.00019,0.00019,0.00019
