epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5895,1.07397,1.22174,1.56455,0.64732,0.4649,0.54804,0.34152,1.50571,2.0429,2.04336,0.000331325,0.000331325,0.0671988
2,121.943,1.07497,1.18646,1.56092,0.77057,0.45917,0.55283,0.36026,1.50783,1.71046,1.99884,0.000658677,0.000658677,0.0341928
3,179.719,1.06929,1.18051,1.56135,0.72553,0.48457,0.57285,0.381,1.43431,1.68889,1.95109,0.000980028,0.000980028,0.00118083
4,237.885,1.06254,1.17414,1.56108,0.7167,0.5508,0.61779,0.39696,1.40545,1.5296,1.92324,0.000973,0.000973,0.000973
5,296.129,1.0694,1.18926,1.55674,0.80135,0.5259,0.62844,0.41336,1.40471,1.49148,1.91319,0.000964,0.000964,0.000964
6,355.302,1.06805,1.17758,1.56061,0.68529,0.52358,0.59665,0.39128,1.40564,1.58206,1.91879,0.000955,0.000955,0.000955
7,413.771,1.06843,1.16927,1.56307,0.75281,0.53919,0.60838,0.39649,1.41471,1.52039,1.91856,0.000946,0.000946,0.000946
8,471.358,1.04455,1.13796,1.54903,0.76288,0.51988,0.62043,0.40059,1.41994,1.47606,1.9331,0.000937,0.000937,0.000937
9,530.41,1.04958,1.16704,1.54522,0.79487,0.51772,0.62801,0.41083,1.4096,1.46483,1.90669,0.000928,0.000928,0.000928
10,586.556,1.03797,1.12312,1.53088,0.73522,0.55733,0.63814,0.4146,1.38294,1.45654,1.89659,0.000919,0.000919,0.000919
11,642.966,1.04296,1.13891,1.53499,0.7541,0.56701,0.6442,0.42156,1.40431,1.42915,1.90434,0.00091,0.00091,0.00091
12,700.135,1.04708,1.13407,1.53644,0.77868,0.52993,0.63111,0.40361,1.40834,1.48372,1.92882,0.000901,0.000901,0.000901
13,757.505,1.03959,1.10362,1.52429,0.73812,0.57116,0.64846,0.41726,1.37666,1.3991,1.86359,0.000892,0.000892,0.000892
14,814.794,1.04426,1.11252,1.53421,0.77639,0.54469,0.63423,0.41721,1.38849,1.42763,1.88182,0.000883,0.000883,0.000883
15,871.908,1.03035,1.10764,1.52608,0.7156,0.57029,0.64603,0.43139,1.36386,1.39949,1.86936,0.000874,0.000874,0.000874
16,928.26,1.01563,1.08456,1.51482,0.72146,0.57825,0.65578,0.42275,1.38194,1.36246,1.87803,0.000865,0.000865,0.000865
17,986.13,1.02021,1.0968,1.51475,0.8159,0.56362,0.67194,0.44212,1.36036,1.33326,1.85673,0.000856,0.000856,0.000856
18,1043.37,1.03099,1.08651,1.52366,0.78019,0.5653,0.66385,0.43151,1.37558,1.36072,1.87604,0.000847,0.000847,0.000847
19,1100.75,0.99513,1.06633,1.49292,0.76169,0.59167,0.668,0.4389,1.34939,1.32802,1.85792,0.000838,0.000838,0.000838
20,1158.21,1.00936,1.09051,1.49877,0.73793,0.57802,0.66564,0.44088,1.34299,1.34778,1.8418,0.000829,0.000829,0.000829
