epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7255,1.34336,1.5469,2.13083,0.45133,0.18347,0.18332,0.10854,2.25137,3.4439,2.86389,0.000328704,0.000328704,0.0674583
2,41.6006,1.327,1.50638,2.10095,0.3948,0.21986,0.23585,0.15054,2.25872,2.61537,2.8587,0.000602454,0.000602454,0.0343987
3,50.2747,1.35064,1.53917,2.12846,0.84119,0.17153,0.22779,0.14607,2.13283,2.8561,2.81718,0.000816204,0.000816204,0.00127917
4,59.3658,1.30287,1.50358,2.07382,0.42863,0.21636,0.2303,0.13808,2.35198,3.36582,2.97895,0.00073,0.00073,0.00073
5,68.4168,1.29259,1.47561,2.04731,0.39711,0.28644,0.28213,0.16681,2.07948,2.47308,2.68694,0.00064,0.00064,0.00064
6,77.6928,1.23071,1.3899,1.99161,0.35348,0.3222,0.30354,0.18312,2.02889,2.3659,2.65203,0.00055,0.00055,0.00055
7,86.9521,1.22973,1.32827,1.96279,0.45475,0.31272,0.32676,0.19312,2.08141,2.35066,2.68018,0.00046,0.00046,0.00046
8,97.5726,1.17984,1.26775,1.92674,0.48781,0.3098,0.34215,0.20009,1.97452,2.2481,2.59125,0.00037,0.00037,0.00037
9,108.017,1.16362,1.28389,1.91106,0.51114,0.29631,0.31151,0.18385,2.02313,2.36905,2.61793,0.00028,0.00028,0.00028
10,118.547,1.11712,1.23371,1.87325,0.46286,0.35874,0.35327,0.21105,1.92089,2.15675,2.5534,0.00019,0.00019,0.00019
