epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9199,3.09429,3.56654,3.41996,0.55155,0.08686,0.02416,0.00708,2.75006,10.0026,3.59715,0.000331832,0.000331832,0.0671486
2,49.2791,2.35768,3.08885,2.8217,0.71399,0.14036,0.14786,0.07017,2.39637,3.21077,2.9944,0.000653192,0.000653192,0.0341367
3,71.0293,2.09607,2.82655,2.52863,0.84886,0.18195,0.22236,0.11465,2.39263,3.10462,2.96317,0.000962553,0.000962553,0.0011127
4,93.7053,1.94151,2.63805,2.36347,0.75276,0.15401,0.18426,0.0896,2.36502,3.13392,3.00945,0.000946,0.000946,0.000946
5,118.474,1.86429,2.51361,2.27327,0.38767,0.27768,0.26813,0.14967,2.14472,2.92123,2.7992,0.000928,0.000928,0.000928
6,143.517,1.78974,2.42036,2.21572,0.46956,0.30016,0.31348,0.17625,2.00967,2.48228,2.59503,0.00091,0.00091,0.00091
7,167.677,1.69854,2.25714,2.13635,0.52673,0.34353,0.36649,0.21594,1.86725,2.36505,2.44895,0.000892,0.000892,0.000892
8,191.386,1.66231,2.20193,2.09382,0.49512,0.34791,0.36612,0.2156,1.80539,2.33756,2.39088,0.000874,0.000874,0.000874
9,214.745,1.587,2.06368,2.01792,0.56387,0.34135,0.38236,0.22423,1.86089,2.41093,2.45562,0.000856,0.000856,0.000856
10,240.841,1.57115,2.04285,1.99913,0.63745,0.42117,0.4662,0.2753,1.73024,2.1106,2.2845,0.000838,0.000838,0.000838
11,268.907,1.54213,2.02137,1.97926,0.64687,0.43843,0.49023,0.28732,1.67591,1.97164,2.19679,0.00082,0.00082,0.00082
12,293.478,1.52758,1.94241,1.94908,0.59199,0.39975,0.44137,0.26086,1.76087,2.06279,2.31756,0.000802,0.000802,0.000802
13,317.231,1.49309,1.92135,1.93265,0.66201,0.42907,0.49567,0.29775,1.66953,1.89019,2.21932,0.000784,0.000784,0.000784
14,341.032,1.46943,1.89174,1.90602,0.60885,0.45975,0.5006,0.30929,1.60835,1.86822,2.12771,0.000766,0.000766,0.000766
15,365.651,1.42744,1.79623,1.86454,0.64936,0.45947,0.52313,0.3265,1.59546,1.95272,2.14402,0.000748,0.000748,0.000748
