epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1105,1.36828,2.21708,1.65214,0.4856,0.36469,0.37534,0.1811,1.86594,2.60097,2.30296,0.000331832,0.000331832,0.0671486
2,158.976,1.32503,1.80322,1.61093,0.52461,0.40822,0.4323,0.23722,1.76308,2.04704,2.05835,0.000653192,0.000653192,0.0341367
3,236.584,1.32652,1.72599,1.61796,0.60632,0.44487,0.49942,0.27995,1.65559,2.09953,2.02626,0.000962553,0.000962553,0.0011127
4,314.165,1.30184,1.66244,1.60033,0.68331,0.48343,0.56457,0.3306,1.5309,1.89178,1.90793,0.000946,0.000946,0.000946
5,391.393,1.28098,1.57489,1.56957,0.63827,0.53905,0.60018,0.35461,1.55866,1.68179,2.03418,0.000928,0.000928,0.000928
6,468.624,1.21926,1.5069,1.52957,0.70906,0.58646,0.6728,0.40401,1.44793,1.44152,1.78938,0.00091,0.00091,0.00091
7,547.057,1.19702,1.44917,1.50692,0.75719,0.60785,0.712,0.43768,1.33943,1.39698,1.65878,0.000892,0.000892,0.000892
8,624.98,1.18366,1.38056,1.49629,0.7286,0.64063,0.73833,0.46254,1.29346,1.27609,1.66063,0.000874,0.000874,0.000874
9,702.22,1.15007,1.33491,1.45937,0.79327,0.64268,0.75289,0.47258,1.30613,1.27072,1.65651,0.000856,0.000856,0.000856
10,779.478,1.14396,1.31063,1.46179,0.75917,0.64885,0.7478,0.45324,1.3722,1.25817,1.72743,0.000838,0.000838,0.000838
11,856.495,1.11223,1.26076,1.44319,0.7936,0.66437,0.77216,0.4907,1.27451,1.19787,1.60279,0.00082,0.00082,0.00082
12,933.537,1.10742,1.23582,1.43468,0.78575,0.68069,0.78363,0.50578,1.26358,1.14498,1.59246,0.000802,0.000802,0.000802
13,1011.1,1.09031,1.21577,1.41114,0.77362,0.67135,0.76603,0.49687,1.24999,1.1776,1.60629,0.000784,0.000784,0.000784
