epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2621,1.36828,2.21708,1.65214,0.4856,0.36469,0.37534,0.1811,1.86594,2.60097,2.30296,0.000331832,0.000331832,0.0671486
2,163.844,1.33214,1.81518,1.62289,0.64624,0.4675,0.51906,0.29799,1.61393,1.87944,1.95581,0.000663968,0.000663968,0.0341475
3,243.535,1.33539,1.71708,1.63094,0.5839,0.47274,0.50505,0.29263,1.60986,1.90632,2.03586,0.000994904,0.000994904,0.00114505
4,323.26,1.31692,1.68773,1.61845,0.59413,0.50134,0.54122,0.3004,1.58811,1.94889,2.01063,0.0009946,0.0009946,0.0009946
5,402.249,1.29254,1.60255,1.58552,0.64528,0.53174,0.5996,0.37418,1.44617,1.5844,1.80314,0.0009928,0.0009928,0.0009928
6,482.257,1.23801,1.52872,1.54527,0.62508,0.56125,0.59948,0.35229,1.49633,1.54316,1.84219,0.000991,0.000991,0.000991
7,561.959,1.22762,1.49501,1.53391,0.76161,0.59259,0.70851,0.43844,1.35287,1.37528,1.69183,0.0009892,0.0009892,0.0009892
8,641.33,1.18923,1.43434,1.51568,0.70835,0.60563,0.67904,0.42593,1.37893,1.41297,1.71518,0.0009874,0.0009874,0.0009874
9,720.63,1.18143,1.38618,1.49123,0.75274,0.61182,0.69679,0.42801,1.34386,1.37099,1.70537,0.0009856,0.0009856,0.0009856
10,800.446,1.17323,1.37237,1.47966,0.71393,0.58007,0.68234,0.42275,1.39404,1.3884,1.74539,0.0009838,0.0009838,0.0009838
11,881.172,1.13646,1.32135,1.46153,0.74869,0.67816,0.75609,0.47031,1.31997,1.27234,1.62716,0.000982,0.000982,0.000982
12,962.248,1.13754,1.31261,1.46259,0.77483,0.64386,0.73764,0.46324,1.32738,1.25443,1.69595,0.0009802,0.0009802,0.0009802
13,1041.46,1.12311,1.26843,1.44177,0.78487,0.63841,0.72811,0.45544,1.34523,1.27581,1.67007,0.0009784,0.0009784,0.0009784
14,1120.98,1.09959,1.2358,1.43781,0.79137,0.67149,0.76545,0.48932,1.32718,1.2123,1.63964,0.0009766,0.0009766,0.0009766
15,1200,1.06676,1.21178,1.40992,0.78706,0.71252,0.80238,0.51399,1.25202,1.122,1.57995,0.0009748,0.0009748,0.0009748
16,1279.22,1.0829,1.18546,1.413,0.7995,0.72351,0.81332,0.51666,1.26137,1.05781,1.60606,0.000973,0.000973,0.000973
17,1358.89,1.0849,1.18288,1.41435,0.82407,0.7004,0.81608,0.52329,1.23895,1.09128,1.56049,0.0009712,0.0009712,0.0009712
18,1437.9,1.08979,1.16638,1.41229,0.8523,0.69981,0.81592,0.53447,1.22343,1.03273,1.5534,0.0009694,0.0009694,0.0009694
19,1517.28,1.07761,1.14571,1.4069,0.84207,0.72714,0.81735,0.53467,1.24406,1.04938,1.58141,0.0009676,0.0009676,0.0009676
20,1595.97,1.05848,1.13754,1.39458,0.84367,0.73763,0.83392,0.55106,1.2177,1.01073,1.56984,0.0009658,0.0009658,0.0009658
21,1675.77,1.05645,1.12195,1.39088,0.8043,0.73463,0.82291,0.54342,1.17891,1.02904,1.51352,0.000964,0.000964,0.000964
22,1755.55,1.06158,1.08753,1.37947,0.85963,0.71967,0.82328,0.54533,1.19273,1.00338,1.52086,0.0009622,0.0009622,0.0009622
23,1836.73,1.06407,1.09544,1.38825,0.84139,0.73106,0.82393,0.53543,1.20255,1.025,1.54695,0.0009604,0.0009604,0.0009604
24,1916.23,1.03956,1.0529,1.37172,0.83407,0.75648,0.83103,0.53889,1.22045,0.95584,1.52508,0.0009586,0.0009586,0.0009586
25,1995.39,1.02132,1.06127,1.35901,0.83835,0.74466,0.84249,0.56018,1.19131,0.95689,1.51767,0.0009568,0.0009568,0.0009568
26,2075.19,1.01641,1.03965,1.35184,0.84448,0.76202,0.85492,0.57021,1.13842,0.94692,1.4641,0.000955,0.000955,0.000955
27,2154.24,1.02592,1.05472,1.36506,0.81337,0.75516,0.83045,0.54122,1.23177,1.00818,1.54769,0.0009532,0.0009532,0.0009532
28,2233.36,1.03473,1.03793,1.36464,0.85942,0.77166,0.85687,0.57567,1.15004,0.90974,1.47099,0.0009514,0.0009514,0.0009514
29,2312.98,0.99828,0.98602,1.3447,0.86484,0.8001,0.86956,0.58208,1.15077,0.87769,1.47975,0.0009496,0.0009496,0.0009496
30,2391.61,1.00129,1.02509,1.34466,0.88003,0.77892,0.86706,0.59061,1.13485,0.89131,1.47541,0.0009478,0.0009478,0.0009478
31,2470.58,1.00013,1.00732,1.33398,0.86089,0.78511,0.87035,0.59064,1.13903,0.86806,1.46774,0.000946,0.000946,0.000946
32,2549.82,0.98982,0.9735,1.32972,0.8624,0.77616,0.87232,0.58428,1.15495,0.86802,1.47087,0.0009442,0.0009442,0.0009442
33,2628.96,0.99899,0.97955,1.33295,0.87136,0.79998,0.87737,0.58843,1.13494,0.87235,1.46104,0.0009424,0.0009424,0.0009424
34,2709.8,0.98588,0.96126,1.32344,0.87669,0.78614,0.872,0.5942,1.11261,0.83259,1.45262,0.0009406,0.0009406,0.0009406
35,2789.51,0.96902,0.95349,1.31249,0.84376,0.76331,0.84459,0.56604,1.16147,0.93565,1.51431,0.0009388,0.0009388,0.0009388
36,2869.3,0.98461,0.96942,1.32833,0.83581,0.78888,0.85954,0.58674,1.11673,0.88715,1.44975,0.000937,0.000937,0.000937
37,2948.38,0.98288,0.93529,1.321,0.87563,0.78435,0.8802,0.59483,1.12437,0.85673,1.45292,0.0009352,0.0009352,0.0009352
38,3028.02,0.96974,0.9273,1.32144,0.86579,0.81565,0.88628,0.60854,1.12005,0.84662,1.45356,0.0009334,0.0009334,0.0009334
