epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3512,1.33542,2.13461,1.60958,0.48826,0.49529,0.45069,0.19646,1.67756,2.04106,1.98604,0.000331832,0.000331832,0.0671486
2,150.558,1.30227,1.70822,1.58261,0.56237,0.57437,0.58884,0.30991,1.55233,1.9402,1.94869,0.000653192,0.000653192,0.0341367
3,219.662,1.29336,1.58223,1.57568,0.67005,0.57387,0.62458,0.32459,1.56426,1.62075,1.94422,0.000962553,0.000962553,0.0011127
4,287.477,1.28879,1.5197,1.56349,0.66156,0.59723,0.67266,0.36861,1.44322,1.77368,1.81089,0.000946,0.000946,0.000946
5,356.959,1.25691,1.42801,1.52233,0.76946,0.60936,0.72679,0.43579,1.3847,1.35489,1.72565,0.000928,0.000928,0.000928
6,426.818,1.21224,1.38444,1.493,0.7377,0.68228,0.73975,0.44263,1.37229,1.27955,1.72749,0.00091,0.00091,0.00091
7,494.715,1.16954,1.32682,1.46597,0.7296,0.70098,0.77516,0.44705,1.36636,1.30214,1.68352,0.000892,0.000892,0.000892
8,562.56,1.15712,1.27204,1.45898,0.76814,0.68263,0.77996,0.48651,1.29051,1.26323,1.65373,0.000874,0.000874,0.000874
9,630.914,1.13881,1.22777,1.42997,0.76245,0.69102,0.78974,0.50035,1.25485,1.19269,1.59427,0.000856,0.000856,0.000856
10,700.54,1.1261,1.20765,1.41959,0.78494,0.71649,0.80232,0.50532,1.2982,1.15379,1.64634,0.000838,0.000838,0.000838
11,774.006,1.09915,1.16881,1.40208,0.80415,0.72262,0.82206,0.5227,1.23616,1.08503,1.57828,0.00082,0.00082,0.00082
12,847.162,1.09291,1.1506,1.39561,0.77338,0.75066,0.82573,0.52411,1.29054,1.09108,1.62322,0.000802,0.000802,0.000802
13,920.548,1.07794,1.13559,1.38037,0.8218,0.73998,0.83346,0.53101,1.23825,1.06898,1.57175,0.000784,0.000784,0.000784
14,993.028,1.05566,1.08881,1.37065,0.83232,0.7461,0.8386,0.53362,1.29451,1.07041,1.62789,0.000766,0.000766,0.000766
15,1063.82,1.03727,1.07021,1.36065,0.81878,0.76075,0.84395,0.54912,1.20552,1.03045,1.54323,0.000748,0.000748,0.000748
16,1133.43,1.03952,1.05247,1.3509,0.81995,0.76888,0.85062,0.54857,1.21973,0.99771,1.54116,0.00073,0.00073,0.00073
17,1203.31,1.02848,1.03867,1.34819,0.84678,0.75836,0.85835,0.55743,1.20078,0.99225,1.54527,0.000712,0.000712,0.000712
18,1273.48,1.03389,1.01805,1.33961,0.81834,0.77758,0.85901,0.55725,1.22118,0.9736,1.53323,0.000694,0.000694,0.000694
19,1345.11,1.01768,1.01075,1.33511,0.85238,0.80275,0.87659,0.56202,1.24517,0.94062,1.55528,0.000676,0.000676,0.000676
20,1415.49,1.00925,0.98968,1.33027,0.84022,0.78743,0.86256,0.5675,1.1939,0.95878,1.52485,0.000658,0.000658,0.000658
21,1486.24,1.00224,0.98221,1.32695,0.83632,0.80129,0.87203,0.57665,1.17453,0.93544,1.51125,0.00064,0.00064,0.00064
22,1557.8,1.00081,0.96129,1.31583,0.87755,0.80059,0.88352,0.57908,1.20442,0.90111,1.53592,0.000622,0.000622,0.000622
23,1632.34,1.00263,0.95462,1.31922,0.87219,0.8072,0.88451,0.58684,1.1785,0.90124,1.50693,0.000604,0.000604,0.000604
24,1706.3,0.9798,0.9433,1.3,0.8337,0.80634,0.86589,0.57594,1.18393,0.90048,1.5223,0.000586,0.000586,0.000586
25,1776.6,0.96652,0.92998,1.30146,0.85636,0.79238,0.87622,0.57899,1.20907,0.89771,1.54233,0.000568,0.000568,0.000568
