epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.802,1.33542,2.13461,1.60958,0.48826,0.49529,0.45069,0.19646,1.67756,2.04106,1.98604,0.000331832,0.000331832,0.0671486
2,209.93,1.3038,1.69715,1.5816,0.61358,0.58971,0.60064,0.32371,1.47713,1.71584,1.80013,0.000663968,0.000663968,0.0341475
3,309.201,1.29635,1.56862,1.56979,0.66363,0.56591,0.63602,0.35923,1.49695,1.624,1.83176,0.000994904,0.000994904,0.00114505
4,407.484,1.29017,1.52139,1.56042,0.58435,0.63827,0.62731,0.34095,1.41726,1.73129,1.76319,0.0009946,0.0009946,0.0009946
5,506.937,1.27936,1.44013,1.54206,0.73108,0.61395,0.71804,0.42672,1.37607,1.35895,1.73083,0.0009928,0.0009928,0.0009928
6,605.86,1.23086,1.38918,1.50399,0.74753,0.69645,0.76395,0.43406,1.36933,1.29487,1.7187,0.000991,0.000991,0.000991
7,707.944,1.19073,1.33696,1.47843,0.72508,0.70405,0.78011,0.44472,1.41317,1.30222,1.72086,0.0009892,0.0009892,0.0009892
8,806.009,1.16933,1.27492,1.45888,0.72933,0.67139,0.76186,0.46697,1.28945,1.26654,1.65976,0.0009874,0.0009874,0.0009874
9,905.571,1.14771,1.24186,1.43897,0.78068,0.715,0.79474,0.49327,1.27438,1.20131,1.60796,0.0009856,0.0009856,0.0009856
10,1005.21,1.15154,1.24074,1.43768,0.75977,0.67983,0.77239,0.47293,1.28882,1.21632,1.62172,0.0009838,0.0009838,0.0009838
11,1106.23,1.11994,1.19574,1.41939,0.77071,0.72798,0.81709,0.51052,1.28071,1.12578,1.63056,0.000982,0.000982,0.000982
12,1205.64,1.12899,1.17973,1.42177,0.78158,0.75111,0.82775,0.50287,1.35032,1.1236,1.68836,0.0009802,0.0009802,0.0009802
13,1305.19,1.0956,1.15537,1.39497,0.82849,0.73355,0.82042,0.51349,1.26585,1.08213,1.60057,0.0009784,0.0009784,0.0009784
14,1404.14,1.07966,1.10899,1.38825,0.8207,0.70741,0.82591,0.52753,1.25149,1.06473,1.59377,0.0009766,0.0009766,0.0009766
15,1503.28,1.06624,1.10302,1.38031,0.79848,0.73778,0.82104,0.52181,1.27032,1.07203,1.62642,0.0009748,0.0009748,0.0009748
16,1602.12,1.07586,1.08773,1.37511,0.79252,0.74852,0.82853,0.53749,1.22611,1.04732,1.54864,0.000973,0.000973,0.000973
17,1698.81,1.05804,1.07195,1.3687,0.8411,0.75283,0.85132,0.55201,1.22971,1.03394,1.56479,0.0009712,0.0009712,0.0009712
18,1793.99,1.06951,1.04932,1.36278,0.82359,0.76504,0.84909,0.52874,1.30522,1.02246,1.61159,0.0009694,0.0009694,0.0009694
19,1889.99,1.04485,1.05293,1.35676,0.84121,0.76926,0.85771,0.54711,1.24104,0.97634,1.56717,0.0009676,0.0009676,0.0009676
20,1986.36,1.04224,1.03813,1.35345,0.84071,0.73999,0.84629,0.55314,1.22765,0.98544,1.56409,0.0009658,0.0009658,0.0009658
21,2082.69,1.03043,1.03114,1.35054,0.81252,0.77866,0.8515,0.55094,1.22552,0.97994,1.56142,0.000964,0.000964,0.000964
22,2176.84,1.02955,0.99869,1.33889,0.83981,0.76479,0.85371,0.55237,1.23423,0.98784,1.57339,0.0009622,0.0009622,0.0009622
23,2269.96,1.04206,1.00685,1.34667,0.84568,0.7591,0.84886,0.55542,1.2225,0.98566,1.54986,0.0009604,0.0009604,0.0009604
24,2365.03,1.01533,0.99376,1.32246,0.83279,0.72491,0.83928,0.55601,1.20622,0.98981,1.5489,0.0009586,0.0009586,0.0009586
25,2466.72,1.00771,0.9919,1.32648,0.85914,0.78515,0.86407,0.56049,1.2177,0.94936,1.55027,0.0009568,0.0009568,0.0009568
26,2568.51,0.99973,0.9636,1.31714,0.8469,0.75311,0.85881,0.56033,1.22402,0.98298,1.55379,0.000955,0.000955,0.000955
27,2673.48,1.00926,0.98147,1.31827,0.84269,0.7872,0.86994,0.5685,1.21092,0.92743,1.53046,0.0009532,0.0009532,0.0009532
28,2773.27,1.01185,0.96321,1.31955,0.85044,0.78217,0.86676,0.57024,1.19341,0.92892,1.52495,0.0009514,0.0009514,0.0009514
29,2871.84,0.98521,0.92646,1.30976,0.838,0.80804,0.87035,0.56071,1.24484,0.92065,1.56265,0.0009496,0.0009496,0.0009496
30,2972.58,1.00147,0.94711,1.31794,0.84214,0.79857,0.87462,0.57878,1.17276,0.90164,1.51174,0.0009478,0.0009478,0.0009478
31,3078.69,1.00951,0.95019,1.31815,0.85154,0.78703,0.87172,0.56518,1.20447,0.90709,1.53195,0.000946,0.000946,0.000946
32,3176.58,0.97805,0.90712,1.29584,0.85786,0.7983,0.8768,0.58122,1.18117,0.89301,1.51018,0.0009442,0.0009442,0.0009442
33,3274.05,0.9932,0.91737,1.30396,0.83376,0.79282,0.8739,0.5703,1.19131,0.89656,1.5182,0.0009424,0.0009424,0.0009424
34,3372.73,0.98294,0.90336,1.29432,0.85827,0.80712,0.87873,0.57806,1.18682,0.88488,1.52204,0.0009406,0.0009406,0.0009406
35,3475.36,0.95593,0.89826,1.27627,0.87273,0.80365,0.87301,0.56593,1.25348,0.9129,1.57159,0.0009388,0.0009388,0.0009388
36,3581.2,0.97264,0.89213,1.28764,0.84082,0.78384,0.86593,0.57148,1.19435,0.93073,1.53213,0.000937,0.000937,0.000937
37,3678.52,0.96478,0.88249,1.28361,0.83721,0.82188,0.8786,0.573,1.20319,0.91094,1.52739,0.0009352,0.0009352,0.0009352
38,3776.37,0.96001,0.87352,1.28921,0.85755,0.79082,0.87411,0.58403,1.18359,0.88036,1.5301,0.0009334,0.0009334,0.0009334
39,3878.01,0.95415,0.88199,1.27855,0.84487,0.81764,0.88638,0.58602,1.16839,0.88025,1.48296,0.0009316,0.0009316,0.0009316
40,3976.2,0.95025,0.87776,1.27569,0.88846,0.79122,0.88887,0.58811,1.1622,0.8445,1.49561,0.0009298,0.0009298,0.0009298
41,4076.15,0.95445,0.86088,1.28218,0.86467,0.79019,0.87414,0.57003,1.21383,0.89318,1.54248,0.000928,0.000928,0.000928
42,4172.38,0.95895,0.86492,1.28284,0.86879,0.79268,0.88166,0.58748,1.17499,0.85039,1.49847,0.0009262,0.0009262,0.0009262
43,4267.95,0.94663,0.85426,1.27515,0.86788,0.80699,0.88061,0.58911,1.16525,0.87303,1.49905,0.0009244,0.0009244,0.0009244
