epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1204,1.40925,2.38211,1.70735,0.47769,0.4329,0.42519,0.20643,1.54832,2.02952,1.95972,0.000331832,0.000331832,0.0671486
2,167.62,1.37792,1.96893,1.70752,0.49703,0.5197,0.4844,0.2408,1.56639,1.98501,1.98846,0.000653192,0.000653192,0.0341367
3,242.612,1.36851,1.8552,1.68542,0.58666,0.51525,0.54086,0.28419,1.54142,1.77235,1.96778,0.000962553,0.000962553,0.0011127
4,317.132,1.37669,1.79046,1.69173,0.53688,0.54357,0.55595,0.3017,1.4739,1.82864,1.91319,0.000946,0.000946,0.000946
5,392.749,1.35401,1.75297,1.67933,0.64073,0.538,0.5915,0.32701,1.46394,1.67899,1.90315,0.000928,0.000928,0.000928
6,468.081,1.31652,1.71528,1.64778,0.62422,0.58709,0.61417,0.33117,1.49213,1.61465,1.92427,0.00091,0.00091,0.00091
7,543.175,1.30388,1.6728,1.63924,0.64151,0.54985,0.63018,0.35494,1.45458,1.58318,1.89342,0.000892,0.000892,0.000892
8,617.498,1.28761,1.64678,1.63395,0.69566,0.57781,0.65835,0.3655,1.46983,1.5375,1.9154,0.000874,0.000874,0.000874
9,693.207,1.28136,1.6173,1.62674,0.69605,0.56447,0.65542,0.36139,1.44733,1.56526,1.88805,0.000856,0.000856,0.000856
10,767.915,1.27576,1.60331,1.62231,0.66516,0.58705,0.65198,0.36925,1.41581,1.52521,1.85429,0.000838,0.000838,0.000838
11,842.334,1.24751,1.55418,1.60072,0.7294,0.59279,0.68439,0.38848,1.42096,1.49792,1.87363,0.00082,0.00082,0.00082
12,930.778,1.25428,1.57648,1.6126,0.71879,0.6033,0.6817,0.39294,1.39406,1.48927,1.84886,0.000802,0.000802,0.000802
13,1017.07,1.24303,1.54953,1.59424,0.73526,0.60286,0.68914,0.39295,1.41562,1.45348,1.86935,0.000784,0.000784,0.000784
14,1095.82,1.22926,1.51713,1.59144,0.68119,0.64177,0.70037,0.39667,1.42891,1.43473,1.87437,0.000766,0.000766,0.000766
15,1174.23,1.20827,1.49427,1.57519,0.7281,0.61037,0.69182,0.39627,1.38317,1.4852,1.84622,0.000748,0.000748,0.000748
16,1257.86,1.21612,1.50598,1.57993,0.69289,0.64702,0.71144,0.40726,1.39855,1.4023,1.83452,0.00073,0.00073,0.00073
17,1341.35,1.21572,1.49181,1.57875,0.66821,0.6281,0.68902,0.40088,1.36018,1.41683,1.8142,0.000712,0.000712,0.000712
18,1425.42,1.22573,1.46914,1.57523,0.71416,0.62045,0.7057,0.40846,1.3845,1.39699,1.84231,0.000694,0.000694,0.000694
19,1509.57,1.21227,1.46486,1.57095,0.70749,0.65892,0.72052,0.4251,1.37168,1.36094,1.82569,0.000676,0.000676,0.000676
20,1593.51,1.19982,1.45212,1.56364,0.71228,0.62802,0.70264,0.41332,1.36061,1.38995,1.82511,0.000658,0.000658,0.000658
21,1678.83,1.20055,1.4503,1.56209,0.72085,0.64417,0.71861,0.41866,1.36658,1.38989,1.82424,0.00064,0.00064,0.00064
22,1774.07,1.20006,1.43861,1.56652,0.71217,0.63497,0.72119,0.43461,1.35988,1.36588,1.81542,0.000622,0.000622,0.000622
23,1860.86,1.19539,1.44795,1.56098,0.73091,0.63717,0.7188,0.4295,1.35555,1.36944,1.81141,0.000604,0.000604,0.000604
24,1944.72,1.18899,1.42071,1.55313,0.7273,0.64074,0.72746,0.42172,1.37006,1.35654,1.82217,0.000586,0.000586,0.000586
25,2028.35,1.17577,1.419,1.54767,0.73091,0.64596,0.72548,0.42857,1.37306,1.3518,1.8179,0.000568,0.000568,0.000568
26,2112.98,1.17138,1.40431,1.54305,0.72898,0.66068,0.73406,0.43584,1.35107,1.3355,1.8029,0.00055,0.00055,0.00055
27,2196.93,1.18712,1.43464,1.55284,0.74398,0.65819,0.73855,0.44001,1.36037,1.33755,1.81833,0.000532,0.000532,0.000532
28,2282.81,1.18108,1.41514,1.55181,0.73342,0.65342,0.73149,0.43405,1.34183,1.33332,1.79081,0.000514,0.000514,0.000514
29,2367.83,1.15472,1.37757,1.5425,0.76808,0.66184,0.74884,0.44785,1.34619,1.31048,1.79837,0.000496,0.000496,0.000496
30,2452.4,1.17989,1.40114,1.55021,0.71309,0.65659,0.72974,0.43764,1.33507,1.32133,1.79708,0.000478,0.000478,0.000478
31,2536.73,1.17413,1.40116,1.54987,0.71688,0.66889,0.7337,0.44023,1.34353,1.33289,1.80313,0.00046,0.00046,0.00046
32,2621.13,1.15564,1.3675,1.53821,0.7643,0.64764,0.74714,0.45159,1.34023,1.29233,1.79486,0.000442,0.000442,0.000442
33,2705.08,1.16919,1.37123,1.53822,0.75156,0.64897,0.74419,0.4456,1.3439,1.29793,1.78683,0.000424,0.000424,0.000424
34,2789.59,1.14937,1.36998,1.52937,0.75018,0.68012,0.75143,0.45343,1.34885,1.3001,1.80269,0.000406,0.000406,0.000406
35,2873.69,1.13461,1.34063,1.51477,0.72029,0.67951,0.74753,0.45022,1.33496,1.30522,1.79036,0.000388,0.000388,0.000388
36,2958.44,1.15516,1.35698,1.52712,0.79447,0.64675,0.75111,0.45384,1.31693,1.28933,1.77368,0.00037,0.00037,0.00037
37,3042.37,1.14382,1.3487,1.52741,0.7453,0.66608,0.74819,0.44758,1.33519,1.30234,1.77344,0.000352,0.000352,0.000352
38,3126.37,1.13445,1.34151,1.51657,0.75661,0.67503,0.75287,0.45308,1.3285,1.29645,1.78079,0.000334,0.000334,0.000334
39,3212.51,1.1369,1.34078,1.52096,0.76136,0.67468,0.75719,0.45135,1.32006,1.29494,1.77032,0.000316,0.000316,0.000316
40,3296.68,1.12668,1.331,1.50905,0.7648,0.6553,0.75454,0.45582,1.31723,1.28729,1.76575,0.000298,0.000298,0.000298
41,3378.08,1.15588,1.27069,1.61941,0.76512,0.66816,0.76698,0.46832,1.29168,1.27585,1.75504,0.00028,0.00028,0.00028
42,3460.76,1.13904,1.21621,1.61234,0.76762,0.6685,0.77082,0.47669,1.2915,1.25122,1.75426,0.000262,0.000262,0.000262
43,3545.32,1.13128,1.19644,1.60191,0.78455,0.66859,0.77182,0.48371,1.2857,1.23895,1.74401,0.000244,0.000244,0.000244
44,3632.8,1.12021,1.18126,1.59642,0.77698,0.6798,0.77573,0.48339,1.27842,1.2298,1.7384,0.000226,0.000226,0.000226
45,3718.76,1.10676,1.16611,1.58468,0.74998,0.68865,0.7763,0.48749,1.26899,1.22138,1.72666,0.000208,0.000208,0.000208
46,3803.4,1.11763,1.15896,1.59494,0.73945,0.71059,0.77891,0.4871,1.27536,1.21645,1.74053,0.00019,0.00019,0.00019
47,3887.79,1.09144,1.14959,1.56764,0.75065,0.71794,0.77887,0.48773,1.27585,1.21605,1.73948,0.000172,0.000172,0.000172
48,3973.64,1.10111,1.14727,1.57645,0.77067,0.69053,0.77987,0.49422,1.26385,1.20605,1.72588,0.000154,0.000154,0.000154
49,4060.19,1.09923,1.15493,1.57873,0.7689,0.68813,0.78212,0.49722,1.26682,1.20201,1.73287,0.000136,0.000136,0.000136
50,4149.53,1.08317,1.13071,1.55468,0.76357,0.68622,0.78406,0.49805,1.26545,1.20498,1.72749,0.000118,0.000118,0.000118
