epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.0721,1.40925,2.38211,1.70735,0.47769,0.4329,0.42519,0.20643,1.54832,2.02952,1.95972,0.000331832,0.000331832,0.0671486
2,183.683,1.38006,1.96601,1.70787,0.50304,0.49414,0.4766,0.23698,1.57965,1.98519,1.99861,0.000663968,0.000663968,0.0341475
3,267.071,1.37707,1.86158,1.69394,0.53261,0.55,0.52741,0.27685,1.53545,1.76634,1.96936,0.000994904,0.000994904,0.00114505
4,352.248,1.37716,1.78605,1.6923,0.52405,0.55218,0.54818,0.29274,1.46979,1.85648,1.91751,0.0009946,0.0009946,0.0009946
5,442.642,1.35551,1.75409,1.67469,0.62556,0.54335,0.59385,0.33478,1.46166,1.65306,1.90697,0.0009928,0.0009928,0.0009928
6,533.456,1.32117,1.71841,1.65075,0.64022,0.55657,0.62088,0.33708,1.4614,1.62284,1.89645,0.000991,0.000991,0.000991
7,625.579,1.30857,1.68176,1.63967,0.64777,0.54313,0.63099,0.34572,1.4469,1.59717,1.88604,0.0009892,0.0009892,0.0009892
8,710.639,1.28725,1.64615,1.63492,0.6733,0.60344,0.66208,0.36318,1.46549,1.55517,1.90897,0.0009874,0.0009874,0.0009874
9,795.527,1.28309,1.62224,1.6294,0.66526,0.57979,0.65106,0.35829,1.44985,1.55678,1.89673,0.0009856,0.0009856,0.0009856
10,878.257,1.28263,1.61094,1.6262,0.69348,0.57226,0.66445,0.37339,1.43238,1.51538,1.8713,0.0009838,0.0009838,0.0009838
11,963.456,1.25969,1.55948,1.60954,0.68691,0.60855,0.68161,0.38793,1.40904,1.47931,1.8702,0.000982,0.000982,0.000982
12,1050.51,1.26549,1.59013,1.61811,0.65605,0.63118,0.6795,0.38781,1.3908,1.512,1.85963,0.0009802,0.0009802,0.0009802
13,1134.25,1.25981,1.56163,1.60545,0.71374,0.59249,0.67003,0.37866,1.43656,1.49165,1.88414,0.0009784,0.0009784,0.0009784
14,1217.93,1.24398,1.53375,1.60171,0.65846,0.63031,0.69101,0.39434,1.4086,1.44795,1.86842,0.0009766,0.0009766,0.0009766
15,1299.71,1.21895,1.50045,1.5862,0.67816,0.62963,0.68531,0.38504,1.40305,1.51523,1.86319,0.0009748,0.0009748,0.0009748
16,1386.44,1.22773,1.51252,1.58794,0.71641,0.6301,0.71432,0.41355,1.38893,1.40785,1.83244,0.000973,0.000973,0.000973
17,1466.64,1.22585,1.50063,1.58814,0.65646,0.62568,0.68333,0.39749,1.36706,1.43999,1.82148,0.0009712,0.0009712,0.0009712
18,1548.04,1.23296,1.48013,1.58362,0.72643,0.62841,0.7103,0.40763,1.39983,1.40479,1.85605,0.0009694,0.0009694,0.0009694
19,1632.68,1.22298,1.4778,1.58021,0.68993,0.65075,0.72028,0.42289,1.37873,1.382,1.83101,0.0009676,0.0009676,0.0009676
20,1717.05,1.22094,1.47391,1.58305,0.70602,0.61311,0.70131,0.41229,1.38274,1.38754,1.84979,0.0009658,0.0009658,0.0009658
21,1799.89,1.21823,1.46416,1.57485,0.71375,0.64576,0.7173,0.41403,1.38784,1.38204,1.83823,0.000964,0.000964,0.000964
22,1886.35,1.21758,1.45689,1.57993,0.79187,0.603,0.72959,0.4347,1.35732,1.38999,1.81763,0.0009622,0.0009622,0.0009622
23,1969.03,1.21432,1.47046,1.57647,0.73987,0.62505,0.7162,0.42042,1.39061,1.38537,1.84171,0.0009604,0.0009604,0.0009604
24,2052.07,1.20636,1.43972,1.56571,0.74895,0.62133,0.72314,0.42643,1.36813,1.36393,1.82137,0.0009586,0.0009586,0.0009586
25,2136.71,1.19505,1.43844,1.56119,0.73379,0.6398,0.72902,0.42621,1.37641,1.37192,1.82468,0.0009568,0.0009568,0.0009568
26,2226.9,1.19571,1.42614,1.5584,0.72996,0.66299,0.73804,0.43227,1.36248,1.35815,1.81601,0.000955,0.000955,0.000955
27,2315.2,1.20378,1.4629,1.56812,0.76223,0.64537,0.74335,0.43448,1.37515,1.34651,1.83295,0.0009532,0.0009532,0.0009532
28,2400.5,1.20207,1.43997,1.56582,0.72172,0.64842,0.72599,0.42932,1.34838,1.36879,1.80132,0.0009514,0.0009514,0.0009514
29,2487.57,1.18078,1.39942,1.55659,0.75853,0.66287,0.74507,0.43919,1.36798,1.33271,1.82961,0.0009496,0.0009496,0.0009496
30,2573.59,1.20268,1.42535,1.56799,0.72122,0.67139,0.73065,0.43482,1.35787,1.33269,1.82111,0.0009478,0.0009478,0.0009478
31,2661.62,1.19689,1.42961,1.56748,0.71026,0.65382,0.72252,0.43087,1.35985,1.36019,1.81558,0.000946,0.000946,0.000946
32,2750.01,1.18344,1.39373,1.55697,0.75574,0.65921,0.7493,0.44966,1.35499,1.30904,1.8088,0.0009442,0.0009442,0.0009442
33,2835.1,1.19752,1.39235,1.55755,0.73502,0.66663,0.74319,0.43608,1.37399,1.31364,1.80518,0.0009424,0.0009424,0.0009424
34,2922.55,1.17837,1.39165,1.54705,0.7419,0.63456,0.73856,0.43353,1.37158,1.32024,1.82961,0.0009406,0.0009406,0.0009406
35,3010.25,1.16235,1.37013,1.52779,0.732,0.67316,0.74381,0.43258,1.36999,1.32375,1.8278,0.0009388,0.0009388,0.0009388
36,3102.76,1.18384,1.38935,1.5496,0.76424,0.64006,0.73718,0.44181,1.34263,1.31504,1.81065,0.000937,0.000937,0.000937
