epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6526,3.17732,3.48049,3.31986,0.60715,0.08949,0.05007,0.01717,2.85742,3.58427,3.21903,0.000331832,0.000331832,0.0671486
2,37.5311,2.43753,3.00633,2.73331,0.78828,0.14915,0.16919,0.08254,2.6116,3.49431,2.99494,0.000663968,0.000663968,0.0341475
3,54.1014,2.09145,2.61782,2.40122,0.31183,0.22605,0.22088,0.12467,2.34921,3.01092,2.69508,0.000994904,0.000994904,0.00114505
4,70.5642,1.96726,2.46877,2.26405,0.83212,0.17614,0.24786,0.1412,2.25403,2.87826,2.6619,0.0009946,0.0009946,0.0009946
5,86.8375,1.84914,2.33273,2.16023,0.32468,0.28055,0.2585,0.16181,2.07393,2.6965,2.44983,0.0009928,0.0009928,0.0009928
6,103.348,1.78563,2.24556,2.09992,0.57096,0.28451,0.33152,0.19597,1.98368,2.3237,2.38134,0.000991,0.000991,0.000991
7,119.652,1.73108,2.12593,2.03741,0.51887,0.35988,0.37992,0.23015,1.82723,2.08874,2.2135,0.0009892,0.0009892,0.0009892
8,136.053,1.6606,2.02679,1.98499,0.5416,0.36534,0.41172,0.25176,1.72848,2.36935,2.10696,0.0009874,0.0009874,0.0009874
9,152.358,1.63286,1.96936,1.9435,0.58399,0.39217,0.43473,0.26298,1.79448,2.03554,2.14564,0.0009856,0.0009856,0.0009856
10,168.721,1.58414,1.88191,1.89561,0.54075,0.41419,0.44434,0.26092,1.73866,2.06503,2.11466,0.0009838,0.0009838,0.0009838
11,185.025,1.56642,1.86088,1.8874,0.66032,0.44467,0.51174,0.28944,1.72346,1.83687,2.13901,0.000982,0.000982,0.000982
12,201.502,1.52329,1.80512,1.83977,0.65885,0.42754,0.4999,0.29578,1.6928,1.83706,2.02977,0.0009802,0.0009802,0.0009802
13,217.904,1.50741,1.76331,1.81487,0.64662,0.45492,0.52614,0.32093,1.58556,1.77773,1.95588,0.0009784,0.0009784,0.0009784
14,234.226,1.47553,1.71458,1.78249,0.64941,0.50391,0.57154,0.34419,1.57007,1.61903,1.91418,0.0009766,0.0009766,0.0009766
15,250.576,1.46195,1.69186,1.76226,0.63409,0.47424,0.54264,0.32813,1.5785,1.64992,1.9138,0.0009748,0.0009748,0.0009748
16,266.804,1.42949,1.64256,1.73253,0.68301,0.54221,0.60838,0.36606,1.49394,1.56198,1.8556,0.000973,0.000973,0.000973
17,283.108,1.39447,1.60585,1.71527,0.72167,0.47798,0.59655,0.36629,1.51068,1.58832,1.84132,0.0009712,0.0009712,0.0009712
18,299.26,1.38638,1.59597,1.69501,0.7312,0.55571,0.64738,0.40175,1.43473,1.47866,1.77714,0.0009694,0.0009694,0.0009694
19,315.585,1.38631,1.58854,1.69379,0.70431,0.5562,0.64332,0.39054,1.48409,1.48831,1.79269,0.0009676,0.0009676,0.0009676
20,331.755,1.34967,1.51697,1.67033,0.79747,0.55343,0.67321,0.42065,1.43731,1.40602,1.78718,0.0009658,0.0009658,0.0009658
21,348.021,1.31834,1.48053,1.64832,0.7372,0.55935,0.65811,0.40692,1.4187,1.43514,1.77579,0.000964,0.000964,0.000964
22,364.188,1.31773,1.48098,1.63989,0.71316,0.59083,0.67719,0.42383,1.41403,1.39321,1.7531,0.0009622,0.0009622,0.0009622
23,380.561,1.32573,1.45193,1.64193,0.80951,0.57226,0.69509,0.42735,1.38254,1.35895,1.7123,0.0009604,0.0009604,0.0009604
24,396.884,1.28778,1.41801,1.60552,0.80983,0.59767,0.7113,0.44381,1.37372,1.38139,1.70891,0.0009586,0.0009586,0.0009586
25,413.462,1.28787,1.40205,1.60139,0.76366,0.60148,0.7003,0.44057,1.37554,1.32013,1.70038,0.0009568,0.0009568,0.0009568
26,429.795,1.28579,1.39248,1.60246,0.75788,0.59725,0.69705,0.43754,1.37407,1.36497,1.69983,0.000955,0.000955,0.000955
27,445.969,1.24065,1.34502,1.57258,0.77983,0.64129,0.73558,0.46716,1.33406,1.25831,1.6634,0.0009532,0.0009532,0.0009532
28,462.265,1.23807,1.35094,1.5647,0.80771,0.59972,0.72614,0.45091,1.37035,1.29047,1.71094,0.0009514,0.0009514,0.0009514
