epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.595,3.0867,3.52083,3.354,0.60649,0.09927,0.04201,0.01374,2.8179,4.19667,3.43279,0.000331832,0.000331832,0.0671486
2,184.073,2.39261,3.11884,2.75982,0.64046,0.09708,0.07939,0.02565,2.58723,3.70706,3.08383,0.000663968,0.000663968,0.0341475
3,273.6,2.11379,2.84033,2.47017,0.78364,0.16642,0.1716,0.10036,2.38491,3.51979,3.01766,0.000994904,0.000994904,0.00114505
4,376.682,1.93274,2.63211,2.31669,0.86974,0.17883,0.24047,0.13804,2.23166,2.80836,2.91193,0.0009946,0.0009946,0.0009946
5,485.047,1.86979,2.50306,2.23505,0.38289,0.25093,0.24108,0.13149,2.24335,2.8693,2.72519,0.0009928,0.0009928,0.0009928
6,576.633,1.78154,2.38588,2.1572,0.44412,0.25388,0.26252,0.15896,2.04244,2.57121,2.56635,0.000991,0.000991,0.000991
7,666.682,1.7261,2.28665,2.09132,0.45814,0.28972,0.30113,0.17013,1.99292,2.74688,2.49934,0.0009892,0.0009892,0.0009892
8,762.397,1.66171,2.19348,2.05027,0.40864,0.26322,0.28281,0.17956,2.0159,2.51641,2.5889,0.0009874,0.0009874,0.0009874
9,855.799,1.63406,2.13622,2.00827,0.50985,0.3634,0.36722,0.2109,1.88119,2.27918,2.40578,0.0009856,0.0009856,0.0009856
10,948.602,1.58923,2.08134,1.97127,0.56884,0.31712,0.3731,0.23021,1.82382,2.24286,2.34082,0.0009838,0.0009838,0.0009838
11,1037.03,1.5403,2.00811,1.92806,0.55174,0.35171,0.4091,0.25437,1.74992,2.12413,2.29149,0.000982,0.000982,0.000982
12,1125.58,1.52744,1.99139,1.9256,0.58025,0.35958,0.41591,0.25177,1.7248,2.09073,2.24267,0.0009802,0.0009802,0.0009802
13,1213.34,1.49805,1.94631,1.88592,0.57462,0.36047,0.40742,0.24261,1.74177,2.04225,2.22245,0.0009784,0.0009784,0.0009784
14,1301.43,1.45312,1.87691,1.85742,0.60313,0.43902,0.48832,0.30248,1.60867,1.88937,2.13626,0.0009766,0.0009766,0.0009766
15,1389.08,1.42836,1.82079,1.82377,0.60004,0.42328,0.45103,0.27051,1.64232,1.92877,2.14101,0.0009748,0.0009748,0.0009748
16,1477.82,1.43946,1.80682,1.83217,0.55716,0.46107,0.48326,0.30398,1.5245,1.8303,2.01741,0.000973,0.000973,0.000973
17,1562.38,1.40745,1.7818,1.80385,0.65416,0.44589,0.52852,0.32639,1.57988,1.81063,2.07862,0.0009712,0.0009712,0.0009712
18,1651.76,1.39852,1.76021,1.79241,0.66752,0.48969,0.55472,0.33878,1.52355,1.67735,2.01215,0.0009694,0.0009694,0.0009694
19,1741,1.38393,1.72576,1.77635,0.63157,0.51889,0.56909,0.35149,1.46263,1.73078,1.95535,0.0009676,0.0009676,0.0009676
20,1827.36,1.36541,1.69046,1.76252,0.57604,0.5139,0.53411,0.32839,1.50471,1.7055,1.969,0.0009658,0.0009658,0.0009658
21,1910.8,1.33736,1.66563,1.74126,0.65407,0.52269,0.60194,0.36944,1.49592,1.57481,1.99336,0.000964,0.000964,0.000964
22,1991.17,1.33406,1.64429,1.72865,0.70396,0.50619,0.59186,0.36425,1.47176,1.59887,1.98469,0.0009622,0.0009622,0.0009622
23,2073.62,1.33045,1.63903,1.72595,0.70552,0.55862,0.6358,0.39199,1.44381,1.51207,1.93504,0.0009604,0.0009604,0.0009604
24,2156.67,1.30042,1.59059,1.70319,0.75244,0.52587,0.62933,0.39382,1.43974,1.49941,1.89199,0.0009586,0.0009586,0.0009586
25,2239.52,1.28272,1.58754,1.68554,0.7772,0.53131,0.63549,0.39953,1.42533,1.50526,1.91704,0.0009568,0.0009568,0.0009568
26,2323.48,1.28622,1.56068,1.68827,0.74641,0.55708,0.65407,0.40922,1.40315,1.43085,1.88269,0.000955,0.000955,0.000955
27,2406.05,1.27862,1.55576,1.67677,0.70303,0.55438,0.63974,0.40469,1.42777,1.47664,1.91298,0.0009532,0.0009532,0.0009532
28,2490.29,1.27539,1.51315,1.67508,0.75004,0.55847,0.66197,0.42502,1.3827,1.42408,1.85123,0.0009514,0.0009514,0.0009514
29,2578.03,1.26209,1.48965,1.67013,0.74211,0.60244,0.68744,0.43127,1.37338,1.38575,1.86073,0.0009496,0.0009496,0.0009496
30,2667.17,1.26865,1.5187,1.67255,0.72992,0.58708,0.67495,0.42355,1.38389,1.36615,1.85231,0.0009478,0.0009478,0.0009478
31,2754.92,1.24781,1.47638,1.65197,0.77102,0.59421,0.6879,0.42485,1.40193,1.38897,1.86099,0.000946,0.000946,0.000946
32,2843.26,1.22859,1.45404,1.6354,0.72494,0.5993,0.68911,0.43768,1.38306,1.42145,1.84844,0.0009442,0.0009442,0.0009442
33,2931.15,1.25628,1.46876,1.65226,0.7397,0.62291,0.69797,0.4394,1.39968,1.34749,1.86295,0.0009424,0.0009424,0.0009424
34,3016.8,1.2291,1.44124,1.63314,0.74477,0.56203,0.66186,0.42872,1.3555,1.39525,1.84464,0.0009406,0.0009406,0.0009406
35,3101.79,1.19893,1.42487,1.60551,0.67953,0.63454,0.68661,0.43637,1.35902,1.37216,1.85183,0.0009388,0.0009388,0.0009388
36,3186.04,1.22216,1.41283,1.62424,0.76937,0.59899,0.70208,0.44109,1.39061,1.36756,1.88355,0.000937,0.000937,0.000937
37,3270.26,1.20618,1.38281,1.61276,0.7842,0.63736,0.72754,0.45313,1.33331,1.36153,1.80229,0.0009352,0.0009352,0.0009352
38,3354.87,1.19646,1.38948,1.6038,0.77546,0.61015,0.7134,0.4556,1.3171,1.30786,1.80088,0.0009334,0.0009334,0.0009334
39,3439.61,1.19487,1.39749,1.59793,0.79047,0.6525,0.75446,0.47815,1.34417,1.22945,1.80033,0.0009316,0.0009316,0.0009316
40,3526.31,1.18962,1.36159,1.58802,0.81974,0.64798,0.75199,0.47918,1.32224,1.2471,1.79627,0.0009298,0.0009298,0.0009298
41,3610.59,1.17596,1.33726,1.59034,0.79206,0.65207,0.74372,0.47019,1.32234,1.23467,1.7948,0.000928,0.000928,0.000928
42,3694.42,1.17569,1.34253,1.58426,0.78142,0.6528,0.74672,0.46545,1.34869,1.27009,1.80332,0.0009262,0.0009262,0.0009262
43,3778.17,1.15913,1.31164,1.56336,0.80853,0.64635,0.75147,0.47522,1.32434,1.23905,1.75912,0.0009244,0.0009244,0.0009244
44,3862.88,1.14658,1.29869,1.55798,0.81499,0.65591,0.75949,0.48199,1.3325,1.23122,1.77538,0.0009226,0.0009226,0.0009226
45,3948.05,1.14434,1.30057,1.55061,0.7838,0.65989,0.75417,0.48319,1.30793,1.2223,1.76375,0.0009208,0.0009208,0.0009208
46,4031.71,1.15157,1.31139,1.55374,0.82908,0.67863,0.7736,0.50155,1.2717,1.1638,1.73659,0.000919,0.000919,0.000919
47,4115.25,1.13722,1.25931,1.54258,0.8243,0.66024,0.77747,0.51125,1.25583,1.12283,1.72292,0.0009172,0.0009172,0.0009172
48,4199.65,1.15799,1.28343,1.55554,0.80719,0.68769,0.7768,0.50128,1.28847,1.14273,1.72083,0.0009154,0.0009154,0.0009154
49,4285.69,1.13232,1.25084,1.54549,0.82387,0.69242,0.78787,0.52024,1.24243,1.10848,1.70923,0.0009136,0.0009136,0.0009136
50,4372.32,1.14112,1.2493,1.54808,0.83333,0.66996,0.78092,0.50722,1.28045,1.1218,1.74012,0.0009118,0.0009118,0.0009118
51,4458.56,1.12007,1.2325,1.53156,0.81294,0.69659,0.77682,0.50382,1.29121,1.1246,1.7407,0.00091,0.00091,0.00091
52,4543.71,1.1407,1.26348,1.54275,0.83144,0.69498,0.79471,0.52507,1.24797,1.09396,1.69272,0.0009082,0.0009082,0.0009082
53,4628.01,1.13371,1.24022,1.53608,0.79686,0.6853,0.77068,0.50504,1.25263,1.14017,1.70642,0.0009064,0.0009064,0.0009064
54,4713.48,1.12273,1.22443,1.52313,0.80704,0.69704,0.79465,0.51376,1.27251,1.09592,1.71323,0.0009046,0.0009046,0.0009046
55,4798.61,1.11035,1.18938,1.5163,0.83853,0.68305,0.78359,0.51526,1.27054,1.08161,1.73122,0.0009028,0.0009028,0.0009028
56,4883.56,1.11011,1.21897,1.5142,0.82296,0.71095,0.80088,0.52559,1.23296,1.05339,1.68893,0.000901,0.000901,0.000901
57,4968.89,1.11187,1.20762,1.52029,0.79637,0.69273,0.77911,0.5211,1.24603,1.07251,1.69698,0.0008992,0.0008992,0.0008992
58,5056.47,1.10867,1.21005,1.51261,0.81547,0.69114,0.77905,0.5072,1.26342,1.08918,1.73101,0.0008974,0.0008974,0.0008974
59,5141.63,1.10564,1.23106,1.51233,0.85586,0.7001,0.80266,0.52424,1.2407,1.0703,1.70131,0.0008956,0.0008956,0.0008956
60,5226.93,1.07737,1.16419,1.49386,0.8517,0.73253,0.81845,0.53728,1.23767,1.02366,1.6993,0.0008938,0.0008938,0.0008938
61,5313.88,1.11196,1.19808,1.51244,0.81873,0.7019,0.7992,0.52525,1.23392,1.09029,1.68583,0.000892,0.000892,0.000892
62,5398.86,1.0852,1.15834,1.49524,0.87171,0.69683,0.81728,0.53602,1.23077,1.02906,1.6772,0.0008902,0.0008902,0.0008902
63,5483.65,1.09831,1.169,1.49648,0.85012,0.71596,0.81758,0.52696,1.26125,1.03363,1.70655,0.0008884,0.0008884,0.0008884
64,5568.09,1.08126,1.1579,1.49047,0.82824,0.74157,0.82647,0.54819,1.20136,1.00312,1.64573,0.0008866,0.0008866,0.0008866
65,5657.16,1.08007,1.12551,1.48435,0.84593,0.71806,0.81888,0.5454,1.20362,1.02839,1.6525,0.0008848,0.0008848,0.0008848
66,5744.14,1.09077,1.14598,1.48867,0.83718,0.73182,0.82131,0.54775,1.20841,1.01412,1.65507,0.000883,0.000883,0.000883
67,5831.82,1.06539,1.12807,1.47418,0.86369,0.72974,0.82963,0.54118,1.21884,0.98813,1.67094,0.0008812,0.0008812,0.0008812
68,5920.26,1.07445,1.12359,1.48422,0.85127,0.71923,0.82489,0.53929,1.21733,1.01813,1.66073,0.0008794,0.0008794,0.0008794
69,6008.07,1.07468,1.13484,1.48478,0.87667,0.72971,0.83205,0.54833,1.22432,0.97489,1.66646,0.0008776,0.0008776,0.0008776
70,6096.75,1.05821,1.10685,1.47219,0.87371,0.74505,0.83674,0.55019,1.21967,0.96164,1.65465,0.0008758,0.0008758,0.0008758
71,6185.7,1.06764,1.11764,1.47356,0.84991,0.73051,0.83435,0.5509,1.19666,0.96593,1.64311,0.000874,0.000874,0.000874
72,6274.69,1.06879,1.11174,1.47737,0.8373,0.73111,0.82993,0.5488,1.21403,0.98039,1.65902,0.0008722,0.0008722,0.0008722
73,6362.14,1.04414,1.07763,1.45557,0.84551,0.74099,0.83103,0.54965,1.19915,0.98052,1.65661,0.0008704,0.0008704,0.0008704
74,6450.49,1.06436,1.10063,1.46403,0.8762,0.7369,0.83721,0.55247,1.20053,0.96389,1.64824,0.0008686,0.0008686,0.0008686
75,6538.52,1.04891,1.08264,1.45791,0.85968,0.72978,0.83258,0.55715,1.1973,0.9732,1.64109,0.0008668,0.0008668,0.0008668
76,6626.41,1.05153,1.09281,1.46723,0.85285,0.7442,0.83957,0.553,1.20049,0.95221,1.64359,0.000865,0.000865,0.000865
77,6714.62,1.04372,1.08105,1.45663,0.8595,0.73748,0.83661,0.56001,1.18193,0.94359,1.62726,0.0008632,0.0008632,0.0008632
78,6802.35,1.03023,1.03943,1.44216,0.8565,0.74357,0.83392,0.55475,1.1815,0.95506,1.63225,0.0008614,0.0008614,0.0008614
79,6890.07,1.03857,1.07202,1.4455,0.84183,0.75325,0.83808,0.56019,1.1917,0.94978,1.63702,0.0008596,0.0008596,0.0008596
80,6977.08,1.03752,1.03477,1.44117,0.86919,0.75514,0.84813,0.56747,1.16765,0.92819,1.62464,0.0008578,0.0008578,0.0008578
81,7064.96,1.03416,1.05888,1.45032,0.85384,0.74832,0.83954,0.567,1.17733,0.92428,1.63173,0.000856,0.000856,0.000856
82,7154.2,1.04794,1.05685,1.45486,0.85351,0.75764,0.84428,0.57028,1.15403,0.90923,1.60354,0.0008542,0.0008542,0.0008542
83,7241.43,1.02945,1.02371,1.43725,0.84652,0.76445,0.85109,0.56426,1.19551,0.92786,1.63297,0.0008524,0.0008524,0.0008524
84,7329.59,1.04709,1.05568,1.4422,0.87396,0.7552,0.85058,0.57225,1.17547,0.92099,1.61628,0.0008506,0.0008506,0.0008506
85,7416.94,1.03046,1.01781,1.44058,0.86618,0.76939,0.85452,0.56843,1.19047,0.8958,1.63872,0.0008488,0.0008488,0.0008488
86,7504.4,1.02549,1.03736,1.42983,0.85804,0.75938,0.84846,0.57262,1.14778,0.91315,1.59523,0.000847,0.000847,0.000847
87,7590.29,1.01999,1.02496,1.43072,0.87293,0.74932,0.85327,0.58312,1.14119,0.90915,1.59766,0.0008452,0.0008452,0.0008452
88,7673.83,1.01405,1.00409,1.42345,0.86471,0.75793,0.84661,0.57253,1.16276,0.91466,1.61225,0.0008434,0.0008434,0.0008434
89,7757.86,1.01132,1.00366,1.41565,0.85937,0.75865,0.85107,0.57177,1.14602,0.91171,1.58581,0.0008416,0.0008416,0.0008416
90,7841.98,1.00404,1.00303,1.41187,0.86282,0.75559,0.84448,0.56862,1.16331,0.92705,1.6101,0.0008398,0.0008398,0.0008398
91,7926.49,1.01311,0.99983,1.42662,0.87946,0.76633,0.85417,0.57593,1.15611,0.88339,1.59311,0.000838,0.000838,0.000838
92,8012.23,0.98902,0.9773,1.40739,0.85879,0.77311,0.85568,0.57761,1.14471,0.8846,1.59463,0.0008362,0.0008362,0.0008362
93,8098.39,0.98767,0.97555,1.4095,0.9134,0.73685,0.85562,0.57334,1.17279,0.87242,1.62413,0.0008344,0.0008344,0.0008344
94,8178.31,0.99116,0.99736,1.41008,0.86306,0.77267,0.85903,0.58443,1.15535,0.87004,1.6014,0.0008326,0.0008326,0.0008326
95,8258.17,0.99058,0.98671,1.40856,0.87025,0.78224,0.86162,0.58606,1.15485,0.87476,1.60635,0.0008308,0.0008308,0.0008308
96,8338.06,1.00299,0.99356,1.42021,0.86237,0.7798,0.8527,0.58035,1.14568,0.88328,1.59852,0.000829,0.000829,0.000829
97,8417.96,0.99604,0.97912,1.40476,0.86932,0.76012,0.85301,0.58959,1.1336,0.88605,1.5832,0.0008272,0.0008272,0.0008272
98,8498.2,1.01443,0.97897,1.41486,0.89501,0.7577,0.85589,0.58319,1.13914,0.87467,1.5908,0.0008254,0.0008254,0.0008254
