epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1246,0.99287,0.86409,1.29461,0.84245,0.65971,0.79028,0.52795,1.21465,1.11252,1.43452,0.000331641,0.000331641,0.0671675
2,33.1676,1.03184,0.91229,1.3359,0.83299,0.67996,0.79096,0.51257,1.22214,1.1148,1.4349,0.000605127,0.000605127,0.0341077
3,48.3961,1.06036,0.91464,1.35107,0.81112,0.68274,0.78139,0.50179,1.26526,1.12404,1.45942,0.000818613,0.000818613,0.000987817
4,63.7509,1.04854,0.92759,1.33654,0.77403,0.65164,0.73624,0.4745,1.27878,1.26295,1.48059,0.00073,0.00073,0.00073
5,78.6458,1.01244,0.86302,1.31746,0.84218,0.70618,0.81105,0.54934,1.16166,1.01406,1.35936,0.00064,0.00064,0.00064
6,93.7804,0.9737,0.80781,1.27211,0.86463,0.73812,0.83095,0.56564,1.14571,0.96141,1.36237,0.00055,0.00055,0.00055
7,108.878,0.93016,0.73899,1.23143,0.84269,0.78493,0.86626,0.59254,1.12955,0.8827,1.32889,0.00046,0.00046,0.00046
8,123.749,0.90822,0.68478,1.21801,0.88193,0.77956,0.86459,0.6043,1.07377,0.85168,1.29977,0.00037,0.00037,0.00037
9,139.13,0.86452,0.63638,1.18625,0.8888,0.80722,0.88271,0.63138,1.03027,0.79805,1.26319,0.00028,0.00028,0.00028
10,154.241,0.82058,0.59621,1.15729,0.89025,0.80785,0.89173,0.64628,1.02999,0.75373,1.25871,0.00019,0.00019,0.00019
