epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0416,0.7785,0.59392,1.10184,0.937,0.77537,0.86851,0.62351,1.09259,0.79099,1.3368,0.000331738,0.000331738,0.0671579
2,36.9577,0.75909,0.55756,1.08834,0.91889,0.82579,0.89696,0.63732,1.08492,0.6893,1.33248,0.000659086,0.000659086,0.0341519
3,54.5737,0.74825,0.54507,1.0846,0.93032,0.8292,0.89845,0.63899,1.05811,0.67854,1.29307,0.000980434,0.000980434,0.00113992
4,73.0276,0.75331,0.54043,1.08454,0.91416,0.82626,0.90127,0.64535,1.04703,0.68293,1.28435,0.000973,0.000973,0.000973
5,89.7152,0.75659,0.54448,1.08974,0.92012,0.82215,0.89161,0.63536,1.06878,0.69424,1.3061,0.000964,0.000964,0.000964
6,106.203,0.74968,0.54322,1.08393,0.916,0.81918,0.89052,0.63447,1.0679,0.68639,1.29883,0.000955,0.000955,0.000955
7,123.14,0.74066,0.53831,1.08299,0.92543,0.83713,0.90035,0.63698,1.08204,0.69603,1.31257,0.000946,0.000946,0.000946
8,139.719,0.73638,0.52835,1.07262,0.92308,0.83754,0.90131,0.64536,1.04212,0.66585,1.29714,0.000937,0.000937,0.000937
9,156.535,0.74696,0.53835,1.08603,0.92829,0.8303,0.89871,0.64801,1.07968,0.68318,1.31744,0.000928,0.000928,0.000928
10,173.122,0.75123,0.53661,1.07974,0.92826,0.82788,0.90161,0.65358,1.04152,0.66026,1.2883,0.000919,0.000919,0.000919
11,190.087,0.74534,0.53929,1.08222,0.90386,0.83377,0.89391,0.64383,1.06781,0.7017,1.30168,0.00091,0.00091,0.00091
12,206.887,0.75148,0.54222,1.08209,0.92611,0.82046,0.88825,0.63422,1.06952,0.70901,1.31408,0.000901,0.000901,0.000901
13,224.192,0.7409,0.52457,1.07752,0.92418,0.80733,0.895,0.64514,1.06503,0.70737,1.31185,0.000892,0.000892,0.000892
14,240.996,0.73844,0.52453,1.07852,0.91217,0.8417,0.89547,0.65234,1.04562,0.66977,1.28664,0.000883,0.000883,0.000883
15,257.884,0.7293,0.5266,1.07276,0.92463,0.83061,0.90334,0.65987,1.01859,0.65627,1.26807,0.000874,0.000874,0.000874
16,274.474,0.72724,0.52779,1.07671,0.94027,0.83518,0.90192,0.656,1.03977,0.66799,1.28497,0.000865,0.000865,0.000865
17,291.516,0.72188,0.5112,1.06568,0.91702,0.83652,0.89836,0.65008,1.03204,0.67203,1.27454,0.000856,0.000856,0.000856
18,308.356,0.72242,0.51251,1.0714,0.93593,0.81795,0.9056,0.65138,1.04099,0.64744,1.30028,0.000847,0.000847,0.000847
19,325.507,0.72053,0.51243,1.06664,0.90863,0.85591,0.90647,0.64874,1.04091,0.66286,1.28197,0.000838,0.000838,0.000838
20,342.458,0.72077,0.51213,1.06578,0.9282,0.81958,0.8867,0.65363,1.05886,0.7051,1.31798,0.000829,0.000829,0.000829
21,359.417,0.71693,0.50293,1.06448,0.90245,0.83821,0.89464,0.64426,1.03491,0.66508,1.28774,0.00082,0.00082,0.00082
22,376.375,0.7191,0.51542,1.06603,0.90329,0.844,0.90064,0.65298,1.03607,0.68322,1.27049,0.000811,0.000811,0.000811
23,393.118,0.71668,0.50753,1.06634,0.90245,0.84874,0.89946,0.64797,1.04286,0.66309,1.29305,0.000802,0.000802,0.000802
24,410.644,0.70244,0.49729,1.06312,0.92078,0.84322,0.90378,0.64613,1.05908,0.65954,1.31118,0.000793,0.000793,0.000793
25,427.397,0.69358,0.49156,1.05557,0.93459,0.82324,0.89751,0.64769,1.05142,0.66815,1.3048,0.000784,0.000784,0.000784
