epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2513,0.96837,0.78951,1.36007,0.7697,0.71426,0.80222,0.50227,1.31838,1.13313,1.65519,0.000331641,0.000331641,0.0671675
2,165.875,1.00671,0.87362,1.37491,0.81343,0.74273,0.8303,0.52501,1.26041,1.07299,1.58017,0.000605127,0.000605127,0.0341077
3,245.074,1.00541,0.8368,1.37246,0.81166,0.71305,0.80378,0.51427,1.28616,1.07834,1.62079,0.000818613,0.000818613,0.000987817
4,324.55,1.012,0.82468,1.37216,0.79554,0.73616,0.82536,0.52024,1.30571,1.08354,1.60182,0.00073,0.00073,0.00073
5,404.094,0.98493,0.78486,1.35956,0.84035,0.74308,0.83674,0.54232,1.23169,0.9881,1.56616,0.00064,0.00064,0.00064
6,484.061,0.94231,0.73945,1.31781,0.81871,0.73768,0.82567,0.54802,1.2261,1.00202,1.55492,0.00055,0.00055,0.00055
7,562.606,0.91499,0.70553,1.31189,0.84032,0.77282,0.84629,0.55632,1.21448,0.97018,1.55616,0.00046,0.00046,0.00046
8,643.105,0.88855,0.65173,1.28377,0.85629,0.78027,0.85693,0.57898,1.17206,0.94066,1.49499,0.00037,0.00037,0.00037
9,724.115,0.85233,0.6169,1.24617,0.87264,0.78418,0.86238,0.58115,1.15907,0.91054,1.48162,0.00028,0.00028,0.00028
10,806.473,0.83089,0.58944,1.22523,0.87563,0.79516,0.87587,0.59283,1.1442,0.87813,1.45986,0.00019,0.00019,0.00019
