epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7984,1.15748,1.36135,1.65195,0.58291,0.54415,0.56729,0.33193,1.44634,1.6931,1.83823,0.000331096,0.000331096,0.0672215
2,104.151,1.15568,1.30209,1.6398,0.58273,0.52766,0.56473,0.32163,1.48692,1.64847,1.88957,0.000604631,0.000604631,0.0341617
3,154.697,1.15673,1.29552,1.64563,0.61302,0.55674,0.60428,0.35576,1.44797,1.57636,1.86721,0.000818166,0.000818166,0.00104188
4,203.583,1.12262,1.22747,1.62246,0.66894,0.57436,0.62899,0.38037,1.4463,1.55708,1.85449,0.00073,0.00073,0.00073
5,253.087,1.11073,1.20118,1.6027,0.7329,0.5703,0.66009,0.3949,1.41866,1.55245,1.83877,0.00064,0.00064,0.00064
6,302.658,1.06158,1.14862,1.55973,0.72824,0.58501,0.66318,0.3966,1.41709,1.5059,1.83868,0.00055,0.00055,0.00055
7,356.183,1.06418,1.11819,1.56553,0.71159,0.58223,0.66765,0.40708,1.37451,1.45567,1.79073,0.00046,0.00046,0.00046
8,408.665,1.02507,1.05092,1.53318,0.71498,0.60855,0.67777,0.41343,1.36153,1.43053,1.78215,0.00037,0.00037,0.00037
9,461.403,1.00545,1.04576,1.52405,0.71759,0.62116,0.68807,0.42697,1.36192,1.40121,1.77633,0.00028,0.00028,0.00028
10,511.724,0.99794,1.01879,1.50053,0.73518,0.61843,0.69991,0.43608,1.34112,1.38216,1.75944,0.00019,0.00019,0.00019
