epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.061,1.20504,1.16748,1.87474,0.34009,0.29269,0.27747,0.16906,2.15858,2.42301,2.6663,0.000330065,0.000330065,0.0673235
2,20.287,1.23307,1.16798,1.87997,0.37409,0.31539,0.29101,0.18345,2.08544,2.37903,2.55126,0.000603693,0.000603693,0.0342638
3,29.2643,1.21334,1.17129,1.84075,0.64799,0.22214,0.28702,0.17933,2.09305,2.60039,2.563,0.00081732,0.00081732,0.00114412
4,38.6029,1.17888,1.1496,1.81038,0.43857,0.31093,0.30836,0.2017,2.00883,2.28008,2.48176,0.00073,0.00073,0.00073
5,47.6108,1.1543,1.11316,1.78617,0.52123,0.33599,0.35723,0.20965,1.99497,2.25101,2.45849,0.00064,0.00064,0.00064
6,56.7001,1.13186,1.06365,1.75526,0.45369,0.35202,0.3511,0.21791,1.92817,2.1823,2.38672,0.00055,0.00055,0.00055
7,65.7404,1.08843,1.03136,1.69931,0.51689,0.35811,0.39118,0.24782,1.83843,2.05348,2.30835,0.00046,0.00046,0.00046
8,74.6695,1.05233,0.989,1.67702,0.49173,0.39319,0.40575,0.25493,1.84213,2.00136,2.30798,0.00037,0.00037,0.00037
9,83.5674,1.01918,0.9611,1.65723,0.5619,0.39152,0.43267,0.26773,1.79602,1.95458,2.2818,0.00028,0.00028,0.00028
10,92.4871,0.99862,0.92763,1.63024,0.55909,0.37172,0.43347,0.27735,1.78242,1.90551,2.25204,0.00019,0.00019,0.00019
