epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8901,0.88848,0.8141,1.31214,0.80699,0.64607,0.73251,0.50139,1.30011,1.26092,1.74731,0.000331615,0.000331615,0.0671701
2,119.417,0.87653,0.76506,1.30676,0.84841,0.72988,0.8272,0.56503,1.18572,0.91543,1.60439,0.000658964,0.000658964,0.0341641
3,178.352,0.8431,0.76651,1.28038,0.8473,0.75179,0.82019,0.55981,1.20304,0.91352,1.6425,0.000980313,0.000980313,0.00115213
4,237.122,0.86641,0.76598,1.2969,0.87404,0.72886,0.81918,0.5634,1.20612,0.9509,1.62759,0.000973,0.000973,0.000973
5,296.568,0.85214,0.76325,1.28659,0.87089,0.7327,0.81949,0.55145,1.22882,0.94635,1.67257,0.000964,0.000964,0.000964
6,354.789,0.86705,0.76256,1.29995,0.87958,0.73161,0.82944,0.5583,1.20907,0.91376,1.63699,0.000955,0.000955,0.000955
7,413.091,0.86929,0.75991,1.29795,0.85863,0.70651,0.80643,0.54216,1.24755,0.9961,1.65858,0.000946,0.000946,0.000946
8,471.53,0.86336,0.7669,1.29448,0.85343,0.73044,0.80711,0.54379,1.25256,0.94267,1.67134,0.000937,0.000937,0.000937
9,529.91,0.85848,0.75222,1.28825,0.86291,0.74098,0.81867,0.55616,1.22049,0.90542,1.64491,0.000928,0.000928,0.000928
10,588.291,0.85345,0.75753,1.28978,0.89381,0.73308,0.82726,0.56016,1.21523,0.91394,1.63242,0.000919,0.000919,0.000919
11,646.296,0.8472,0.74009,1.28979,0.84073,0.73977,0.81149,0.55398,1.22575,0.91298,1.66429,0.00091,0.00091,0.00091
12,704.605,0.8463,0.7435,1.28511,0.87291,0.74625,0.82784,0.55697,1.2097,0.91206,1.63459,0.000901,0.000901,0.000901
